Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent,Long,Lat,ZipCode,Precinct,CrimeTotalPastYear,Train_Line,Dist_To_Line,Dist_To_Station,Dist_To_Entrance
brooklyn,Prospect Lefferts Gardens,620 Parkside Avenue,3.0,1.0,1067.73,3100.0,-73.95263939534884,40.65602379069768,11226.0,71.0,954.0,2,0.0025189048934132,0.0026377533420167,0.0022981148180461096
brooklyn,Williamsburg,1 N 4th Place,1.0,1.0,600.0,4597.0,-74.0000482,40.6784121,11231.0,76.0,406.0,F,0.0034467583976858,0.005430166065955,0.004439688309694911
brooklyn,Bensonhurst,1651 84th Street,2.0,1.0,600.0,1650.0,-74.00463430612245,40.610702591836734,11214.0,62.0,1179.0,D,0.0032249522988,0.004249032992708,0.004048115196757802
brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,181 Front Street,2.0,2.0,1290.54,6496.0,-73.98598783528503,40.70252645,11201.0,84.0,1063.0,F,0.0016825167832268,0.0029247817615982,0.0013264442899894263
brooklyn,East Flatbush,3420 Clarendon Road,1.0,1.0,624.88,1600.0,-73.9442331,40.6433748,11203.0,67.0,1832.0,5,0.0048330321617452,0.0049350958033949,0.004754305915094115
brooklyn,Crown Heights,1020 President Street,2.0,1.0,862.67,2850.0,-73.95802057692308,40.66869726923077,11225.0,71.0,954.0,2-3,0.0019874678794532,0.0020509858587343,0.0016404221084931705
brooklyn,Bushwick,176 Suydam Street,2.0,2.0,850.0,2300.0,-73.9260512173913,40.69961443478261,11221.0,83.0,1638.0,M,0.0022137941077328,0.0021101986068871,0.0016134419128209592
brooklyn,Canarsie,1289 East 93rd Street,2.0,0.0,529.53,2100.0,-73.90107079069767,40.63935386046512,11236.0,67.0,1832.0,L,0.0073412770431168,0.0073412770431168,0.00637400926523651
brooklyn,Windsor Terrace,467 16th Street,2.0,1.0,800.0,3800.0,-73.9800642,40.6603571,11215.0,72.0,1247.0,F,0.0003781877975241,0.000459508732643,0.00031961327722908615
brooklyn,East New York,311 Etna Street,1.0,1.0,626.52,1650.0,-73.87252472222222,40.68719961111111,11208.0,83.0,1638.0,J-Z,0.0007497335844914,0.0025445214294803,0.0024513176445564154
brooklyn,Stuyvesant Heights,833 Monroe Street,2.0,1.0,861.03,2800.0,-73.9225305,40.6889833,11221.0,81.0,1199.0,J-Z,0.0006968862510793,0.0007078759963282,0.0012219300860339215
brooklyn,Crown Heights,1337 Bergen Street,2.0,1.5,1500.0,3395.0,-73.94054667567568,40.67566694594595,11213.0,77.0,1037.0,A-C,0.0042631771723754,0.0042635084603729,0.004142091476029282
brooklyn,Prospect Lefferts Gardens-Wingate,824 East New York Avenue,1.0,1.0,649.42,2350.0,-73.93547033333333,40.66243033333333,11203.0,71.0,954.0,3,0.0069430495668643,0.0070225566486005,0.006524905463736112
brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,181 Front Street,2.0,2.0,1290.54,6496.0,-73.98598783528503,40.70252645,11201.0,84.0,1063.0,F,0.0016825167832268,0.0029247817615982,0.0013264442899894263
brooklyn,Williamsburg,1 N 4th Place,1.0,1.0,600.0,4597.0,-74.0000482,40.6784121,11231.0,76.0,406.0,F,0.0034467583976858,0.005430166065955,0.004439688309694911
brooklyn,Crown Heights,1083 Dean Street,2.0,2.0,1100.0,3200.0,-73.95357200000001,40.677287846153845,11216.0,77.0,1037.0,S,0.0031978406559361,0.0040033363585694,0.0043937632664163215
brooklyn,Crown Heights,298 New York Avenue,1.0,1.0,850.0,2400.0,-73.947806,40.670049,11216.0,77.0,1037.0,5,0.0026294965889076,0.0026225926327885,0.0024642903213199416
brooklyn,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,181 Front Street,2.0,2.0,1290.54,6496.0,-73.98598783528503,40.70252645,11201.0,84.0,1063.0,F,0.0016825167832268,0.0029247817615982,0.0013264442899894263
brooklyn,East Williamsburg,15 Judge Street,1.0,1.0,701.77,3950.0,-73.94034885714285,40.71307157142857,11211.0,90.0,1297.0,L,0.0011900543782099,0.001502889847503,0.0009450858246857589
brooklyn,Park Slope,441 16th Street,1.0,1.0,636.34,1950.0,-73.98106907407407,40.66083266666666,11215.0,72.0,1247.0,F,0.0014616916514536,0.0015533121974573,0.0014248902065011366
brooklyn,Greenwood,145 17th Street,2.0,1.0,851.18,2499.0,-73.99417904761904,40.66555590476191,11215.0,72.0,1247.0,N-R,0.0012119053685844,0.0013147635756698,0.000977117429559558
brooklyn,Midwood,1608 Ocean Parkway,2.0,1.0,1300.0,2550.0,-73.9682156,40.6095825,11230.0,66.0,990.0,F,0.0048486692916862,0.0048440244692462,0.00471956753793797
brooklyn,Bushwick,53 Stanhope Street,3.0,2.0,1700.0,4199.0,-73.925239375,40.69594375,11221.0,83.0,1638.0,M,0.0028835053283208,0.0027814591972703,0.0023208673724006514
