Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent,Long,Lat,ZipCode,Precinct,CrimeTotalPastYear,Train_Line,Dist_To_Line,Dist_To_Station,Dist_To_Entrance
bronx,Tremont,2065 Ryer Avenue,2.0,1.0,719.0,2217.0,-73.9012094,40.8523615,10457.0,46.0,2002.0,B-D,0.0026538476274179,0.003760782099935,0.0032756493798650147
bronx,Crotona Park East,1169 Hoe Avenue,2.0,1.0,848.76,2425.0,-73.89099858823529,40.82780388235294,10459.0,42.0,1957.0,5,0.002137279426303,0.0023099703897255,0.002321854869791689
bronx,Highbridge,1515 Macombs Road,1.0,1.0,631.43,1800.0,-73.9177249775813,40.84355975766774,10452.0,44.0,2726.0,4,0.003163095384849,0.0031631903929477,0.003254398803302216
bronx,Norwood,31 West Mosholu Parkway North,2.0,1.0,833.22,1950.0,-73.8844669,40.8818283,10467.0,52.0,2092.0,4,0.0020871262854151,0.0020867953064692,0.001751301526258052
bronx,west concourse,2401 3rd Avenue,1.0,1.0,675.0,3132.0,-73.931714,40.808009,10451.0,44.0,2726.0,4-5-6,0.0026802688338423,0.005538451779676,0.005390649900672232
bronx,Kingsbridge Heights,114 West 238th Street,1.0,1.0,450.0,1700.0,-73.89789650907466,40.88318326602887,10463.0,50.0,1027.0,1,0.003322970384307,0.0033231186872882,0.0031837688405444617
bronx,Fordham,2692 Creston Avenue,1.0,1.0,642.88,2150.0,-73.8944626388889,40.86778669444444,10468.0,52.0,2092.0,B-D,0.001250580888429,0.0012503654556302,0.0013092123526894702
bronx,Fordham,2692 Creston Avenue,2.0,1.0,846.31,2350.0,-73.8944626388889,40.86778669444444,10468.0,52.0,2092.0,B-D,0.001250580888429,0.0012503654556302,0.0013092123526894702
bronx,west concourse,2401 3rd Avenue,0.5,1.0,571.95,2991.0,-73.931714,40.808009,10451.0,44.0,2726.0,4-5-6,0.0026802688338423,0.005538451779676,0.005390649900672232
bronx,University Heights,2265 University Avenue,1.0,1.0,629.79,1750.0,-73.90745559210526,40.86010392105263,10468.0,52.0,2092.0,4,0.0039588741235721,0.0039587295841988,0.0037399928087006843
bronx,Tremont,2095 Grand Concourse,1.0,1.0,622.43,1525.0,-73.902149375,40.85381375,10457.0,46.0,2002.0,B-D,0.0013334460155722,0.0026792714209316,0.0024425660025185355
bronx,west concourse,2401 3rd Avenue,0.5,1.0,581.76,3291.0,-73.931714,40.808009,10451.0,44.0,2726.0,4-5-6,0.0026802688338423,0.005538451779676,0.005390649900672232
bronx,Tremont,2095 Grand Concourse,2.0,1.0,825.86,1725.0,-73.902149375,40.85381375,10457.0,46.0,2002.0,B-D,0.0013334460155722,0.0026792714209316,0.0024425660025185355
bronx,Riverdale,3240 Henry Hudson Parkway East,2.0,2.0,1171.26,2850.0,-73.91296163025211,40.88556913445378,10463.0,50.0,1027.0,1,0.0105417738642012,0.010541563196188,0.0104110021865241
bronx,west concourse,2401 3rd Avenue,2.0,2.0,1240.69,4972.0,-73.931714,40.808009,10451.0,44.0,2726.0,4-5-6,0.0026802688338423,0.005538451779676,0.005390649900672232
bronx,west concourse,2401 3rd Avenue,1.0,1.0,677.69,3214.0,-73.931714,40.808009,10451.0,44.0,2726.0,4-5-6,0.0026802688338423,0.005538451779676,0.005390649900672232
bronx,Mott Haven,101 Bruckner Boulevard,2.0,2.0,1182.71,3200.0,-73.923106,40.805086,10454.0,44.0,2726.0,6,0.0045928969179856,0.0045930776602023,0.004364645088654819
bronx,Riverdale,5421 Sylvan Avenue,1.0,1.0,626.52,1650.0,-73.8988257,40.9020334,10471.0,50.0,1027.0,1,0.0127880372156168,0.0127877032055986,0.011910983190622622
bronx,west concourse,2401 3rd Avenue,3.0,2.0,1439.31,5025.0,-73.931714,40.808009,10451.0,44.0,2726.0,4-5-6,0.0026802688338423,0.005538451779676,0.005390649900672232
bronx,University Heights,2471 Grand Avenue,3.0,1.0,1048.1,2500.0,-73.90289631818182,40.86346186363636,10468.0,52.0,2092.0,4,0.0019092732902773,0.0019754324498316,0.0017314799423453523
bronx,Throgs Neck,2879 Philip Avenue,1.0,1.0,637.15,1975.0,-73.82447672727272,40.82752354545455,10465.0,43.0,2813.0,6,0.0201651086109409,0.0201813836235689,0.020069191435124475
bronx,Riverdale,5530 Netherland Avenue,2.0,1.0,847.94,2400.0,-73.906374,40.903233,10471.0,50.0,1027.0,1,0.0160090359309196,0.0160087443309609,0.015408344256820116
bronx,Soundview,102 Lighthouse Court,2.0,1.0,800.0,2100.0,-73.84985930612244,40.8073522244898,10473.0,43.0,2813.0,6,0.026936932671891,0.0269372635914495,0.026815292124088126
bronx,Woodlawn,108 East 237th Street,3.0,1.0,1500.0,3000.0,-73.87251314285714,40.89832728571429,10470.0,50.0,1027.0,4,0.0137829668340561,0.0137826694553442,0.012875229984773836
bronx,North New York,522 East 142nd Street,2.0,1.0,725.0,2395.0,-73.91711932653061,40.81010140816326,10454.0,44.0,2726.0,6,0.0033056374714996,0.0033053815665583,0.0031200221236628908
bronx,Bronxwood,2700 Bronx Park East,1.0,1.0,483.0,1625.0,-73.870314,40.865488,10467.0,49.0,1400.0,2,0.0029621162312069,0.0030797749520876,0.002840410668112678
bronx,west concourse,2401 3rd Avenue,0.5,1.0,453.0,2943.0,-73.931714,40.808009,10451.0,44.0,2726.0,4-5-6,0.0026802688338423,0.005538451779676,0.005390649900672232
bronx,west concourse,2401 3rd Avenue,1.0,1.0,686.32,3478.0,-73.931714,40.808009,10451.0,44.0,2726.0,4-5-6,0.0026802688338423,0.005538451779676,0.005390649900672232
bronx,west concourse,2401 3rd Avenue,0.5,1.0,453.0,2943.0,-73.931714,40.808009,10451.0,44.0,2726.0,4-5-6,0.0026802688338423,0.005538451779676,0.005390649900672232
bronx,west concourse,2401 3rd Avenue,0.5,1.0,580.62,3256.0,-73.931714,40.808009,10451.0,44.0,2726.0,4-5-6,0.0026802688338423,0.005538451779676,0.005390649900672232
bronx,west concourse,2401 3rd Avenue,0.5,1.0,439.0,2905.0,-73.931714,40.808009,10451.0,44.0,2726.0,4-5-6,0.0026802688338423,0.005538451779676,0.005390649900672232
bronx,west concourse,2401 3rd Avenue,1.0,1.0,675.0,3132.0,-73.931714,40.808009,10451.0,44.0,2726.0,4-5-6,0.0026802688338423,0.005538451779676,0.005390649900672232
bronx,west concourse,2401 3rd Avenue,1.0,1.0,675.0,3132.0,-73.931714,40.808009,10451.0,44.0,2726.0,4-5-6,0.0026802688338423,0.005538451779676,0.005390649900672232
bronx,North New York,408 East 134th Street,1.0,1.0,642.88,2150.0,-73.92443578723405,40.80633210638298,10454.0,44.0,2726.0,6,0.0044795787034796,0.0044798875889079,0.0038206833154591263
bronx,University Heights,2201 Jerome Avenue,1.0,1.0,633.06,1850.0,-73.904728,40.857184,10453.0,46.0,2002.0,4,0.0005508970463276,0.0014888010028206,0.0012524103223422452
bronx,Parkchester,2240 East Tremont Avenue,0.5,1.0,395.0,1350.0,-73.85583055555556,40.84210255555556,10462.0,43.0,2813.0,6,0.0091009965278107,0.0091007111508581,0.008934739348627777
bronx,University Heights,2265 University Avenue,0.5,1.0,522.35,1475.0,-73.90745559210526,40.86010392105263,10468.0,52.0,2092.0,4,0.0039588741235721,0.0039587295841988,0.0037399928087006843
bronx,Riverdale,3636 Fieldston Road,1.0,1.0,800.0,2000.0,-73.90670554545454,40.88633654545455,10463.0,50.0,1027.0,1,0.0058551145945584,0.0060696761400851,0.005979884980721499
bronx,west concourse,228 East 135th Street,0.5,1.0,545.25,2175.0,-73.93017744736842,40.81041402631579,10451.0,44.0,2726.0,4-5-6,0.0018400194715053,0.002829103726161,0.002721171806559518
