Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent,Long,Lat,ZipCode,Precinct
queens,Jamaica,153-30 89th Avenue,2.0,2.0,1040.0,3000.0,-73.80223285312294,40.70519205,11432,103.0
queens,Corona,97-11 Horace Harding Expressway,1.0,1.0,713.0,2003.0,-73.8618949638064,40.7360732,11368,110.0
queens,Elmhurst,85-14 57 Road,1.0,1.0,637.81,1995.0,,,,100.0
queens,Astoria,32-57 46th Street,3.0,2.0,1200.0,3500.0,-73.91512010489132,40.75526395,11103,115.0
queens,Long Island City,29-59 Northern Boulevard,0.5,1.0,578.26,3184.0,-73.8548612,40.7584538,11368,115.0
queens,Rego Park,98-50 63 Drive,0.5,1.0,526.44,1600.0,,,,100.0
queens,Woodside,33-16 61st Street,2.0,1.0,843.04,2250.0,-73.9037236,40.7370062,11377,104.0
queens,Briarwood,147-94 Grand Cent Parkway,1.0,1.0,850.0,1900.0,,,,100.0
queens,Hunters Point,42-20 27th Street,2.0,2.0,1241.93,5010.0,-73.94064453463754,40.7496616,11101,114.0
queens,Rego Park,61-55 Junction Boulevard,1.0,1.0,685.0,2875.0,-73.864815,40.73466,11373,110.0
queens,Forest Hills,68-35 Juno Street,3.0,2.0,1394.32,3650.0,-73.85384529440535,40.71602185,11375,112.0
queens,Astoria,28-05 43rd Street,1.0,1.0,650.0,1800.0,-73.9113551,40.7641055,11103,115.0
queens,Hunters Point,1-50 50th Avenue,3.0,2.0,1141.0,4739.0,-73.95913242847102,40.74323715,11101,114.0
queens,Briarwood,139-31 85 Drive,0.5,1.0,400.0,1450.0,,,,100.0
queens,Woodside,43-27A 54th Street,3.0,2.0,1000.0,2900.0,-73.91068295302188,40.7428174,11377,104.0
queens,Forest Hills,"6120 Grand Central Parkway,",1.0,1.0,875.0,1850.0,-73.9185992,40.7713308,11102,114.0
queens,Hunters Point,1-50 50th Avenue,2.0,2.0,989.0,4020.0,-73.95913242847102,40.74323715,11101,114.0
queens,Astoria,31-52 45th Street,3.0,1.0,1000.0,2700.0,-73.91433039110672,40.7582257,11103,115.0
queens,Long Island City,29-59 Northern Boulevard,3.0,2.0,1487.27,6491.0,-73.8548612,40.7584538,11368,115.0
queens,Sunnyside,44-15 43rd Avenue,1.0,1.0,750.0,2000.0,-73.9195165,40.7451626,11104,104.0
queens,Ridgewood,68-07 Forest Avenue,4.0,1.5,1425.46,3300.0,-73.90117603496242,40.7034173,11385,104.0
queens,Hunters Point-Sunnyside-West Maspeth,28-40 Jackson Avenue,2.0,2.0,1248.73,5218.0,-73.93720088501888,40.7483477,11101,114.0
queens,Astoria,30-19 49th Street,2.0,1.0,1000.0,2400.0,-73.90799896584537,40.75986645,11377,115.0
queens,Jamaica Estates,87-01 Midland Parkway,0.5,1.0,600.0,1500.0,-73.78233002964188,40.71388805,11432,107.0
queens,Briarwood,84-06 143rd Street,1.0,1.0,748.0,1895.0,-73.81379565258396,40.71059655,11435,107.0
queens,Sunnyside,52-22 35th Street,1.0,1.0,624.88,1600.0,-73.936055,40.7359992,11101,104.0
queens,Glendale,78-56 76th Street,2.0,1.0,844.67,2300.0,-73.87294593854051,40.7030293,11385,104.0
queens,Kew Gardens,125-16 83 Drive,0.5,1.0,600.0,1575.0,,,,100.0
queens,Ditmars-Steinway,21-38 46th Street,3.0,1.0,1097.17,4000.0,-73.90144856736674,40.77148745,11105,115.0
queens,Astoria,10 Halletts Point,2.0,2.5,1441.54,6395.0,,,,100.0
queens,Jackson Heights,74-15 35th Avenue,2.0,1.0,775.0,2350.0,-73.89168246219236,40.75130085,11372,115.0
queens,Jamaica Estates,87-03 Kingston Place,3.0,2.0,1356.7,2500.0,-73.7910453994686,40.71298595,11432,107.0
queens,Long Island City,29-59 Northern Boulevard,2.0,1.0,963.13,5921.0,-73.8548612,40.7584538,11368,115.0
queens,Old Astoria,30-92 29th Street,2.0,1.0,883.93,3500.0,-73.9230246,40.7683929,11102,114.0
queens,Flushing,140-21 32nd Avenue,1.0,1.0,700.0,2200.0,-73.82774954710712,40.76903165,11354,109.0
queens,Sunnyside,41-25 44th Street,1.0,1.0,634.7,1900.0,-73.91979689877863,40.74582665,11104,104.0
queens,Astoria,30-71 33rd Street,1.0,1.0,634.54,1895.0,-73.92096843817316,40.76428625,11103,114.0
queens,Astoria,35-21 Crescent Street,3.0,1.0,1080.82,3500.0,-73.93222854771642,40.75908145,11106,114.0
queens,Murray Hill (Queens),163-04 Crocheron Avenue,1.0,1.0,780.0,1975.0,-73.8025746,40.762432,11358,109.0
queens,Long Island City,29-17 40th Avenue,0.5,1.0,572.24,3000.0,-73.742318,40.772807,11363,111.0
queens,Ridgewood,1880 Gates Avenue,4.0,1.5,1428.7,3399.0,-73.9067245,40.70478675,11385,104.0
queens,Briarwood,82-50 135th Street,1.0,1.0,750.0,1785.0,-73.8224738,40.7127423,11435,107.0
queens,Long Island City,29-59 Northern Boulevard,1.0,1.0,743.31,5220.0,-73.8548612,40.7584538,11368,115.0
queens,Hunters Point-Sunnyside-West Maspeth,44-28 Purves Street,2.0,2.0,1262.73,5646.0,-73.94119769099831,40.7465046,11101,114.0
queens,Kew Gardens,118-71 80 Road,1.0,600.0,185476.87,1650.0,,,,100.0
queens,Jackson Heights,74-15 35th Avenue,1.0,1.0,690.0,2150.0,-73.89168246219236,40.75130085,11372,115.0
queens,Long Island City,29-59 Northern Boulevard,3.0,2.0,1487.27,6491.0,-73.8548612,40.7584538,11368,115.0
queens,Maspeth,69-79 Caldwell Avenue,0.5,1.0,526.44,1600.0,-73.89158760671393,40.72459425,11378,104.0
queens,Woodside,32-57 60th Street,3.0,1.0,1100.0,2400.0,-73.90203249691601,40.75433025,11377,115.0
queens,Astoria,26-07 18th Street,1.0,1.0,637.97,2000.0,-73.9268194015272,40.7738105,11102,114.0
queens,Maspeth,60-15 Fresh Pond Road,1.0,1.0,635.52,1925.0,-73.9014928,40.7164794,11378,104.0
queens,Ditmars-Steinway,45-02 Ditmars Boulevard,1.0,1.0,750.0,2300.0,-73.9027758,40.7703492,11105,115.0
queens,Flushing,42-11 Parsons Boulevard,1.0,1.0,750.0,1875.0,-73.810393,40.738328,11432,107.0
queens,Kew Gardens Hills,70-13 Park Drive East,1.0,1.0,631.43,1800.0,-73.83032396086546,40.7264783,11367,107.0
queens,Jackson Heights,33-34 77th Street,2.0,1.0,1100.0,2300.0,-73.8899214,40.7537681,11372,115.0
queens,Murray Hill (Queens),149-31 35th Avenue,2.0,2.0,900.0,2300.0,-73.81612633540675,40.76668035,11354,109.0
queens,Corona,97-05 Horace Harding Expressway,2.0,1.0,1060.0,2600.0,-73.86258314633797,40.73525775,11368,110.0
queens,Corona,96-04 57th Avenue,1.0,1.0,808.0,1968.0,-73.8648863372482,40.73594095,11368,110.0
queens,Astoria,31-16 28 Road,1.0,1.0,750.0,2100.0,,,,100.0
queens,Ditmars-Steinway,22-37 73rd Street,2.0,2.0,1169.63,2800.0,-73.8957777,40.767179,11370,115.0
queens,Hunters Point-Sunnyside-West Maspeth,28-40 Jackson Avenue,2.0,2.0,1248.73,5218.0,-73.93720088501888,40.7483477,11101,114.0
queens,East Flushing,170-20 Lithonia Avenue,1.0,1.0,646.15,2250.0,-73.79751651363364,40.74809735,11365,109.0
queens,Kew Gardens,83-15 Lefferts Boulevard,2.0,1.0,900.0,2575.0,-73.83118726434182,40.7054405,11415,102.0
queens,Astoria,12-23 30 Road,2.0,1.0,843.04,2250.0,,,,100.0
queens,Astoria,31-79 34th Street,3.0,1.0,900.0,3200.0,-73.92247752762604,40.7611724,11106,114.0
queens,Astoria,25-24 Broadway,1.0,1.0,644.51,2200.0,-73.92779325384532,40.7628727,11106,114.0
queens,Murray Hill (Queens),144-15 41st Avenue,0.5,1.0,550.0,1650.0,-73.82118939575436,40.76093535,11354,109.0
queens,Ditmars-Steinway,21-68 35th Street,1.0,1.0,630.61,1775.0,-73.90875299783298,40.77540155,11105,115.0
queens,Glendale,71-40 68th Street,3.0,1.0,1044.83,2400.0,-73.88524200417457,40.7024057,11385,104.0
queens,East Elmhurst,22-24 92nd Street,1.0,2.0,949.84,2100.0,-73.87863865,40.769262600000005,11369,115.0
queens,Hunters Point,45-50 Pearson Street,0.5,1.0,562.43,2700.0,-73.9440847866228,40.74461655,11101,114.0
queens,Long Island City,29-22 Northern Boulevard,2.0,2.0,1168.0,5175.0,-73.8548612,40.7584538,11368,115.0
queens,Flushing,143-29 Barclay Avenue,0.5,1.0,500.0,1500.0,-73.8270315,40.7582763,11355,109.0
queens,Flushing,143-09 Barclay Avenue,1.0,1.0,700.0,1800.0,-73.8232268,40.7592616,11355,109.0
queens,Long Island City,29-59 Northern Boulevard,2.0,2.0,1286.22,6364.0,-73.8548612,40.7584538,11368,115.0
queens,Astoria,21-22 Newtown Avenue,3.0,1.0,1044.67,2395.0,-73.92550326531503,40.7715968,11102,114.0
queens,Long Island City,41-15 23rd Street,1.0,1.0,681.65,3335.0,-73.9073589,40.7863459,11105,115.0
queens,Ozone Park,90-19 107th Avenue,2.0,2.0,1172.9,2900.0,-73.84728440954146,40.67853635,11417,102.0
queens,Astoria,27-15 Astoria Boulevard,1.0,1.0,640.0,3000.0,-73.92069202614864,40.7709884,11102,114.0
queens,Hunters Point-Sunnyside-West Maspeth,27-19 44th Dr,0.5,1.0,443.0,2975.0,-73.94167904759615,40.7468007,11101,114.0
queens,Forest Hills,110-56 71st Avenue,0.5,1.0,550.0,1600.0,-73.8396548472336,40.7226862,11375,112.0
queens,Rego Park,64-21 Booth Street,2.0,1.0,1000.0,2250.0,-73.86151089251919,40.7281915,11374,112.0
queens,Kew Gardens,83-46 118th Street,0.5,1.0,520.72,1425.0,-73.83464547885337,40.705714,11418,102.0
queens,Kew Gardens,83-46 118th Street,2.0,1.0,845.49,2325.0,-73.83464547885337,40.705714,11418,102.0
queens,Astoria,34-46 Vernon Boulevard,2.0,2.0,1224.2,4468.0,-73.94192014098704,40.76479495,10044,114.0
queens,Long Island City,29-22 Northern Boulevard,2.0,2.0,1168.0,5175.0,-73.8548612,40.7584538,11368,115.0
queens,Astoria,34-20 30th Street,0.5,1.0,524.81,1550.0,-73.92887683560102,40.75954125,11106,114.0
queens,Astoria,30-70 48th Street,1.0,1.0,665.0,1995.0,-73.9101603375,40.75932865,11103,115.0
queens,Long Island City,29-59 Northern Boulevard,2.0,2.0,1286.22,6364.0,-73.8548612,40.7584538,11368,115.0
queens,Long Island City,29-17 40th Avenue,1.0,1.0,687.04,3500.0,-73.742318,40.772807,11363,111.0
queens,Long Island City,38-12 31st Street,2.0,1.0,900.0,2750.0,-73.93253425318107,40.7535575,11101,114.0
queens,Kew Gardens Hills,69-94 136th Street,1.0,1.0,700.0,1800.0,-73.82885350000001,40.72691195,11367,107.0
queens,Hunters Point-Sunnyside-West Maspeth,5203 Center Boulevard,2.0,2.0,1277.26,6090.0,-73.9616128,40.7396737,11109,114.0
queens,Hunters Point-Sunnyside-West Maspeth,5203 Center Boulevard,2.0,1.0,931.37,4950.0,-73.9616128,40.7396737,11109,114.0
queens,Hunters Point-Sunnyside-West Maspeth,5203 Center Boulevard,2.0,2.0,1269.41,5850.0,-73.9616128,40.7396737,11109,114.0
queens,Hunters Point-Sunnyside-West Maspeth,5203 Center Boulevard,2.0,2.0,1256.65,5460.0,-73.9616128,40.7396737,11109,114.0
queens,Hunters Point-Sunnyside-West Maspeth,5203 Center Boulevard,2.0,2.0,1274.32,6000.0,-73.9616128,40.7396737,11109,114.0
queens,Hunters Point,4545 Center Boulevard,2.0,2.0,1240.13,4955.0,-73.9563172,40.7477112,11109,114.0
queens,Corona,96-02 57th Avenue,1.0,1.0,713.0,1976.0,-73.86518880780383,40.7364228,11368,110.0
queens,Forest Hills,67-30 Clyde Street,1.0,1.0,816.0,2500.0,-73.85592237670731,40.7218485,11375,112.0
queens,Hunters Point,4615 Center Boulevard,1.0,1.0,695.55,3760.0,-73.9560426,40.7471411,11109,114.0
queens,Ridgewood,68-07 Forest Avenue,4.0,1.5,1425.46,3300.0,-73.90117603496242,40.7034173,11385,104.0
queens,Hunters Point-Sunnyside-West Maspeth,28-40 Jackson Avenue,0.5,1.0,585.33,3400.0,-73.93720088501888,40.7483477,11101,114.0
queens,Astoria,21-02 29th Avenue,1.0,1.0,689.0,2650.0,-73.92720886368058,40.77028715,11102,114.0
queens,Woodhaven,90-10 Jamaica Avenue,0.5,1.0,536.09,1895.0,-73.8543046,40.6927783,11421,102.0
queens,Flushing,45-03 162nd Street,3.0,1.0,1050.0,2300.0,-73.8044384,40.7562209,11358,109.0
queens,Kew Gardens,84-47 Lefferts Boulevard,1.0,1.0,636.34,1950.0,-73.83200472860341,40.70309825,11415,102.0
queens,Ditmars-Steinway,24-44 27th Street,2.0,1.0,844.67,2300.0,-73.91913188167564,40.77313835,11102,114.0
queens,Ridgewood,1923 Cornelia Street,1.0,1.0,644.51,2200.0,-73.9022742244898,40.70332419387755,11385,104.0
queens,Ridgewood,60-01 70th Avenue,2.0,1.0,800.0,2300.0,-73.8988205178869,40.70174075,11385,104.0
queens,Ditmars-Steinway,23-26 33rd Street,3.0,2.0,1450.0,3600.0,-73.91266120929512,40.77311245,11105,115.0
queens,Astoria,10 Halletts Point,1.0,1.0,675.59,3150.0,,,,100.0
queens,Ditmars-Steinway,21-15 21 Road,2.0,1.0,833.22,1950.0,,,,100.0
queens,Corona,97-11 Horace Harding Expressway,1.0,1.0,713.0,2003.0,-73.8618949638064,40.7360732,11368,110.0
queens,Astoria,25-55 33rd Street,2.0,1.0,800.0,2000.0,-73.91765708840842,40.7683308,11103,115.0
queens,Ditmars-Steinway,21-14 21st Avenue,1.0,1.0,600.0,1550.0,-73.9142697,40.7817654,11105,115.0
queens,Hunters Point-Sunnyside-West Maspeth,28-40 Jackson Avenue,0.5,1.0,585.33,3400.0,-73.93720088501888,40.7483477,11101,114.0
queens,Astoria,32-06 29th Street,2.0,1.0,854.49,2600.0,-73.9272737,40.7625486,11106,114.0
queens,Astoria,31-27 37th Street,2.0,1.0,887.2,3600.0,-73.91904814604243,40.76126055,11103,115.0
queens,Sunnyside,47-28 40th Street,2.0,1.0,844.67,2300.0,-73.9250463,40.74100055,11104,104.0
