Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent,Long,Lat,ZipCode,Precinct,CrimeTotalPastYear,Train_Line,Dist_To_Line,Dist_To_Station,Dist_To_Entrance
staten-island,New Dorp Beach,48C Winham Avenue,0.5,1.0,513.32,1199.0,-74.10365049999999,40.56574925,10306.0,120.0,799.0,R,0.0887926267391822,0.0887926267391822,0.014446178604921615
staten-island,Eltingville,3676 Richmond Avenue,3.0,1.0,1500.0,2400.0,-74.16717195296998,40.5481616813672,10312.0,123.0,338.0,R,0.1525232973371056,0.1525232973371056,0.004251423548647387
staten-island,Saint George,36 Hamilton Avenue,2.0,1.0,900.0,2150.0,-74.078906,40.6449857,10301.0,120.0,799.0,R,0.0552114565231608,0.0552114565231608,0.005682154536943815
staten-island,Saint George,36 Hamilton Avenue,1.0,1.0,750.0,1600.0,-74.078906,40.6449857,10301.0,120.0,799.0,R,0.0552114565231608,0.0552114565231608,0.005682154536943815
staten-island,Saint George,60 Hamilton Avenue,2.0,1.0,833.22,1950.0,-74.0797325,40.6448024,10301.0,120.0,799.0,R,0.0558957648765007,0.0558957648765007,0.006484988372382716
staten-island,Saint George,60 Hamilton Avenue,1.0,1.0,619.98,1450.0,-74.0797325,40.6448024,10301.0,120.0,799.0,R,0.0558957648765007,0.0558957648765007,0.006484988372382716
staten-island,Midland Beach,51 Boundary Avenue,1.0,1.0,615.07,1300.0,-74.09755529411764,40.58091532352941,10306.0,120.0,799.0,R,0.0756377626072074,0.0756377626072074,0.0059858406211317425
staten-island,Tottenville,203 Main Street,1.0,1.0,700.0,1700.0,-74.24782361538462,40.510184384615386,10307.0,123.0,338.0,R,0.2416509105830326,0.2416509105830326,0.0043664917538207455
staten-island,Richmondtown,19E Franklin Lane,1.0,1.0,624.88,1600.0,-74.15041431412266,40.56990485,10306.0,123.0,338.0,R,0.1283427806816655,0.1283427806816655,0.018306297563301648
staten-island,Saint George,133 Winter Avenue,3.0,1.0,1057.92,2800.0,-74.08586016666666,40.6387665,10301.0,120.0,799.0,R,0.0592760668973404,0.0592760668973404,0.010901495407387315
staten-island,Annadale,228 Shotwell Avenue,1.0,1.0,695.0,1450.0,-74.181457,40.55296,10312.0,123.0,338.0,R,0.1634853057035054,0.1634853057035054,0.012768690520757688
staten-island,New Dorp,257 Bryant Avenue,2.0,1.0,834.86,2000.0,-74.10776113793104,40.57462306896552,10306.0,120.0,799.0,R,0.0876082562402287,0.0876082562402287,0.004668399563668934
staten-island,Park Hill,668 Richmond Road,2.0,1.0,844.67,2300.0,-74.08907236842106,40.61038968421053,10304.0,120.0,799.0,R,0.0585290937081586,0.0585290937081586,0.008678073728685962
staten-island,Grymes Hill,29 Stratford Avenue,2.0,1.0,807.0,2075.0,-74.09421814285714,40.619484,10301.0,120.0,799.0,R,0.0634067811972975,0.0634067811972975,0.019062045264694114
staten-island,Port Richmond,91 Ann Street,3.0,1.5,1000.0,2395.0,-74.13179571428572,40.63859171428572,10302.0,120.0,799.0,R,0.1032834523277447,0.1032834523277447,0.05678598254003914
staten-island,Port Richmond,91 Ann Street,2.0,1.0,900.0,2195.0,-74.13179571428572,40.63859171428572,10302.0,120.0,799.0,R,0.1032834523277447,0.1032834523277447,0.05678598254003914
staten-island,Bulls Head,94 Nostrand Avenue,2.0,1.0,839.76,2150.0,-74.16953762359434,40.60640438757727,10314.0,123.0,338.0,R,0.1390375432179295,0.1390375432179295,0.057971084032098365
staten-island,Bay Terrace,165 Woodcutters Lane,1.0,1.0,700.0,1400.0,-74.1407226,40.5568,10308.0,123.0,338.0,R,0.1250796035205137,0.1250796035205137,0.003351372372693031
staten-island,Castleton Corners,397 Melba Street,3.0,1.0,1046.47,2450.0,-74.12415807692308,40.602519692307695,10314.0,120.0,799.0,R,0.0943419917778886,0.0943419917778886,0.02753414805845638
staten-island,Grant City,180 Hamden Avenue,2.0,1.0,834.86,2000.0,-74.10313699999999,40.58017727777777,10306.0,120.0,799.0,R,0.0809311159057279,0.0809311159057279,0.0038461749332223015
staten-island,Grymes Hill,516 Howard Avenue,1.0,1.0,627.99,1695.0,-74.09223856436003,40.61875133213034,10301.0,120.0,799.0,R,0.0613995087280532,0.0613995087280532,0.0173957055564355
staten-island,Grymes Hill,80 Arlo Road,0.5,1.0,500.0,1400.0,-74.09287610141055,40.61999092847102,10301.0,120.0,799.0,R,0.0620915806666414,0.0620915806666414,0.018788392268854825
staten-island,Mariners Harbor,15 Harbor Loop,1.0,1.0,616.71,1350.0,-74.16143518199068,40.63230565837592,10303.0,121.0,738.0,R,0.1314978606497798,0.1314978606497798,0.07349353813869387
staten-island,Shore Acres,72 Maryland Avenue,2.0,1.0,831.59,1900.0,-74.06502877007007,40.61352756265745,10305.0,120.0,799.0,R,0.0342926395625313,0.0342926395625313,0.010461854303578376
staten-island,Rossville,85 Mason Boulevard,1.0,1.0,800.0,1750.0,-74.21123322222222,40.544133555555554,10309.0,123.0,338.0,R,0.1943791491820941,0.1943791491820941,0.02147695551301559
