Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent,Long,Lat,ZipCode,Precinct,CrimeTotalPastYear,Train_Line,Dist_To_Line,Dist_To_Station,Dist_To_Entrance
manhattan,Chelsea,130 W 15th Street,2.0,2.0,1377.37,9150.0,-73.9974784,40.7384148,10011,13.0,1549.0,L,0.0012830058498959,0.0007263395720958,0.0009193984232684672
manhattan,Murray Hill,401 East 34th Street,2.0,2.0,1085.0,6276.0,-73.9727084,40.7436487,10016,13.0,1549.0,7,0.0084655313490977,0.0084658388802947,0.007582093495359538
manhattan,Washington Heights,432 West 163rd Street,2.0,1.0,855.99,2646.0,-73.93837313043478,40.83600156521739,10032,33.0,1126.0,A-C,0.0015189111350396,0.0015189144854792,0.001445932985719083
manhattan,South Harlem,207 West 121st Street,0.5,1.0,537.89,1950.0,-73.95043528571429,40.80660726530612,10027,28.0,1017.0,B-D,0.0025989363302432,0.0045814891452868,0.004434072795387922
manhattan,upper east side-carnegie hill,420 E 54th Street,1.0,2.0,851.0,5869.0,-73.9633352,40.7558074,10022,18.0,1926.0,E,0.0011281625393325,0.0059727540274017,0.006086638737303764
manhattan,Upper West Side,255 W 94th Street,1.0,1.0,714.85,4350.0,-73.9731136,40.7936229,10025,24.0,1045.0,1-2-3,0.0008441135398275,0.0008442307873904,0.00041578942627075124
manhattan,Upper West Side,255 W 94th Street,1.0,1.0,713.05,4295.0,-73.9731136,40.7936229,10025,24.0,1045.0,1-2-3,0.0008441135398275,0.0008442307873904,0.00041578942627075124
manhattan,Upper West Side,255 W 94th Street,0.5,1.0,600.05,3850.0,-73.9731136,40.7936229,10025,24.0,1045.0,1-2-3,0.0008441135398275,0.0008442307873904,0.00041578942627075124
manhattan,Upper West Side,255 W 94th Street,1.0,1.0,706.51,4095.0,-73.9731136,40.7936229,10025,24.0,1045.0,1-2-3,0.0008441135398275,0.0008442307873904,0.00041578942627075124
manhattan,Upper West Side,255 W 94th Street,3.0,2.0,1618.42,10500.0,-73.9731136,40.7936229,10025,24.0,1045.0,1-2-3,0.0008441135398275,0.0008442307873904,0.00041578942627075124
manhattan,Financial District,120 Greenwich Street,1.0,1.0,568.0,3850.0,-74.01330935714286,40.708887,10006,5.0,796.0,1,0.0006652690298913,0.0011902974881449,0.0007474950245691591
manhattan,Upper West Side,212 West 91st Street,0.5,1.0,568.97,2900.0,-73.9737135,40.7911655,10024,24.0,1045.0,1-2-3,0.0030843834796312,0.003084681755697,0.001969776368005896
manhattan,Washington Heights,838 Riverside Drive,3.0,1.0,1090.63,3800.0,-73.94572121125562,40.83601039949463,10032,33.0,1126.0,1,0.0021379338577057,0.0021376266313158,0.0018236289065964892
manhattan,Battery Park City,377 Rector Place,1.0,1.0,621.0,4000.0,-74.01708014285714,40.70945607142857,10280,5.0,796.0,1,0.0038079775390268,0.0038270970146052,0.0037198658784492866
manhattan,West Chelsea,312 11th Avenue,0.5,1.0,535.0,3550.0,-74.00323078347762,40.7527815,10001,10.0,1012.0,7,0.0028583194076886,0.0028583194076886,0.003088615464045545
manhattan,Kips Bay,240 East 27th Street,1.0,1.0,941.0,4840.0,-73.9795127,40.7404464,10016,13.0,1549.0,4-5-6,0.0054273733316836,0.005427534914994,0.0050619570486407466
manhattan,Midtown,260 West 52nd Street,1.0,1.0,616.0,4135.0,-73.9849048,40.7633132,10019,18.0,1926.0,E,0.0003349204525435,0.0013782112750521,0.0006542058213691577
manhattan,West Village,53 Leroy Street,1.0,2.0,1093.62,6495.0,-74.00448144444445,40.73029866666666,10014,6.0,1527.0,1-2-3,0.000201757779961,0.0022309521795835,0.0017503822360317059
manhattan,Lincoln Square,645 West 59th Street,3.0,3.5,2026.0,31000.0,-73.99164928571429,40.772214081632654,10019,20.0,1120.0,1-2-3,0.009519509115245,0.0095195521051582,0.009324284394312703
manhattan,Inwood,65 Post Avenue,1.0,1.0,633.06,1850.0,-73.92213552173914,40.86369313043478,10034,34.0,1454.0,1,0.001609750488159,0.0034419920677591,0.0029726342601553036
