Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent,Long,Lat,ZipCode,Precinct,CrimeTotalPastYear,Train_Line,Dist_To_Line,Dist_To_Station,Dist_To_Entrance
queens,Jamaica,153-30 89th Avenue,2.0,2.0,1040.0,3000.0,-73.80223285312294,40.70519205,11432,103.0,1705.0,F,0.002611424331569,0.0026037678201865,0.0023496805712036168
queens,Corona,97-11 Horace Harding Expressway,1.0,1.0,713.0,2003.0,-73.8618949638064,40.7360732,11368,110.0,2102.0,R,0.005640153589741,0.0063152949489408,0.005676363911870295
queens,Astoria,32-57 46th Street,3.0,2.0,1200.0,3500.0,-73.91512010489132,40.75526395,11103,115.0,1943.0,M,0.0015300760569741,0.001914041011548,0.0015356618005602065
queens,Long Island City,29-59 Northern Boulevard,0.5,1.0,578.26,3184.0,-73.8548612,40.7584538,11368,115.0,1943.0,7,0.0067407345965905,0.0067404029966414,0.006945258766646204
queens,Woodside,33-16 61st Street,2.0,1.0,843.04,2250.0,-73.9037236,40.7370062,11377,104.0,1473.0,7,0.0085007647057087,0.008655457912521,0.00853805741563583
queens,Hunters Point,42-20 27th Street,2.0,2.0,1241.93,5010.0,-73.94064453463754,40.7496616,11101,114.0,1881.0,7,0.0010209602161758,0.0010863405760162,0.0007548121598868926
queens,Rego Park,61-55 Junction Boulevard,1.0,1.0,685.0,2875.0,-73.864815,40.73466,11373,110.0,2102.0,R,0.0031867988815491,0.0048743496881381,0.004065818603550071
queens,Forest Hills,68-35 Juno Street,3.0,2.0,1394.32,3650.0,-73.85384529440535,40.71602185,11375,112.0,676.0,F-M,0.0090465144607521,0.0105297797239137,0.01014476893655616
queens,Astoria,28-05 43rd Street,1.0,1.0,650.0,1800.0,-73.9113551,40.7641055,11103,115.0,1943.0,R,0.0077157966918059,0.0080842960426434,0.007814826018977067
queens,Hunters Point,1-50 50th Avenue,3.0,2.0,1141.0,4739.0,-73.95913242847102,40.74323715,11101,114.0,1881.0,7,0.0021102288126978,0.005584968810308,0.004923411568606723
queens,Woodside,43-27A 54th Street,3.0,2.0,1000.0,2900.0,-73.91068295302188,40.7428174,11377,104.0,1473.0,7,0.0018582533517931,0.002292441612502,0.0017418514597736102
queens,Forest Hills,"6120 Grand Central Parkway,",1.0,1.0,875.0,1850.0,-73.9185992,40.7713308,11102,114.0,1881.0,N-W,0.00131280292986,0.0013885734751509,0.001192394521384239
queens,Hunters Point,1-50 50th Avenue,2.0,2.0,989.0,4020.0,-73.95913242847102,40.74323715,11101,114.0,1881.0,7,0.0021102288126978,0.005584968810308,0.004923411568606723
queens,Astoria,31-52 45th Street,3.0,1.0,1000.0,2700.0,-73.91433039110672,40.7582257,11103,115.0,1943.0,R,0.0011573268071456,0.0020729730142303,0.0013579751935435724
queens,Long Island City,29-59 Northern Boulevard,3.0,2.0,1487.27,6491.0,-73.8548612,40.7584538,11368,115.0,1943.0,7,0.0067407345965905,0.0067404029966414,0.006945258766646204
queens,Sunnyside,44-15 43rd Avenue,1.0,1.0,750.0,2000.0,-73.9195165,40.7451626,11104,104.0,1473.0,7,0.0023009416544937,0.0023006464110845,0.002047266297418608
queens,Ridgewood,68-07 Forest Avenue,4.0,1.5,1425.46,3300.0,-73.90117603496242,40.7034173,11385,104.0,1473.0,M,0.0021504488861042,0.0021437113324995,0.0015885050465314012
queens,Hunters Point-Sunnyside-West Maspeth,28-40 Jackson Avenue,2.0,2.0,1248.73,5218.0,-73.93720088501888,40.7483477,11101,114.0,1881.0,M,0.0004784178345334,0.0005734519036953,0.00038550959691386846
queens,Astoria,30-19 49th Street,2.0,1.0,1000.0,2400.0,-73.90799896584537,40.75986645,11377,115.0,1943.0,R,0.0055431910470413,0.006565064817725,0.005675126311923906
queens,Jamaica Estates,87-01 Midland Parkway,0.5,1.0,600.0,1500.0,-73.78233002964188,40.71388805,11432,107.0,1122.0,F,0.0019376796041181,0.0019376796041181,0.0007129944943694105
queens,Briarwood,84-06 143rd Street,1.0,1.0,748.0,1895.0,-73.81379565258396,40.71059655,11435,107.0,1122.0,F,0.0059934269169968,0.0059661299165886,0.005600674112990759
queens,Sunnyside,52-22 35th Street,1.0,1.0,624.88,1600.0,-73.936055,40.7359992,11101,104.0,1473.0,7,0.0094037806197185,0.0099666280536804,0.009577560783203595
queens,Glendale,78-56 76th Street,2.0,1.0,844.67,2300.0,-73.87294593854051,40.7030293,11385,104.0,1473.0,J-Z,0.0126712103982347,0.0130316311325355,0.01295431083989834
queens,Ditmars-Steinway,21-38 46th Street,3.0,1.0,1097.17,4000.0,-73.90144856736674,40.77148745,11105,115.0,1943.0,N-W,0.0111642835289529,0.0111642835289529,0.011025364447020035
queens,Jackson Heights,74-15 35th Avenue,2.0,1.0,775.0,2350.0,-73.89168246219236,40.75130085,11372,115.0,1943.0,7,0.0044625157237763,0.0044588994822007,0.00408920670220983
queens,Jamaica Estates,87-03 Kingston Place,3.0,2.0,1356.7,2500.0,-73.7910453994686,40.71298595,11432,107.0,1122.0,F,0.0014809676546035,0.0034629900618503,0.0026486608031178944
queens,Long Island City,29-59 Northern Boulevard,2.0,1.0,963.13,5921.0,-73.8548612,40.7584538,11368,115.0,1943.0,7,0.0067407345965905,0.0067404029966414,0.006945258766646204
queens,Old Astoria,30-92 29th Street,2.0,1.0,883.93,3500.0,-73.9230246,40.7683929,11102,114.0,1881.0,N-W,0.0022348664082668,0.0022348664082668,0.002099564648418314
queens,Flushing,140-21 32nd Avenue,1.0,1.0,700.0,2200.0,-73.82774954710712,40.76903165,11354,109.0,2113.0,7,0.0097037512332696,0.0097034280088796,0.009010450774692367
queens,Sunnyside,41-25 44th Street,1.0,1.0,634.7,1900.0,-73.91979689877863,40.74582665,11104,104.0,1473.0,7,0.003019553534202,0.0030192550106839,0.0027674555075731726
