,Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent
0,bronx,Hunts Point,657 Manida Street,3,2,0,2850.0
1,bronx,Spuyten Duyvil,2600 Netherland Avenue,1,1.5,880,2545.0
2,bronx,Spuyten Duyvil,3128 Henry Hudson Parkway East,2,2,0,3200.0
3,bronx,Spuyten Duyvil,511 West 235th Street,1,1,1015,2000.0
4,bronx,Mott Haven,2401 3rd Avenue,0.5,1,0,3001.0
5,bronx,North New York,534 Jackson Avenue,2,1,0,2300.0
6,bronx,Tremont,219 Echo Place,0.5,1,0,1475.0
7,bronx,Woodlawn,4282 Katonah Avenue,2,1,0,2000.0
8,bronx,Morrisania,1117 Forest Avenue,2,1.5,690,1800.0
9,bronx,Fordham,2330 Valentine Avenue,1,1,0,1675.0
10,bronx,Soundview,1211 Wheeler Avenue,3,1,0,2100.0
11,bronx,Riverdale,3824 Waldo Avenue,2,1,0,2150.0
12,bronx,Concourse,1500 Grand Concourse,0.5,1,0,1400.0
13,bronx,University Heights,2471 Grand Avenue,2,1,0,2000.0
14,bronx,Riverdale,3210 Riverdale Avenue,1,1,794,2300.0
15,bronx,Spuyten Duyvil,530 West 236th Street,3,2,0,3195.0
16,bronx,Morris Heights,2004 Davidson Avenue,2,1,0,2150.0
17,bronx,Fordham,2592 Creston Avenue,3,1,0,2300.0
18,bronx,Mott Haven,2401 3rd Avenue,2,2,0,4744.0
19,bronx,Bedford Park,2980 Briggs Avenue,2,1.5,0,1950.0
20,bronx,Spuyten Duyvil,735 Kappock Street,1,1,0,2000.0
21,bronx,Pelham Parkway,2198 Cruger Avenue,2,1,0,2125.0
22,bronx,Norwood,3230 Steuben Avenue,1,1,0,1700.0
23,bronx,Crotona Park East,1409 Bryant Avenue,2,1.5,0,2550.0
24,bronx,Spuyten Duyvil,500 West 235th Street,2,1,0,2400.0
25,bronx,Concourse,975 Sherman Avenue,3,1,0,2500.0
26,bronx,Concourse,975 Sherman Avenue,1,1,0,1550.0
27,bronx,Riverdale,6555 Broadway,1,1,0,1750.0
28,bronx,Hunts Point,657 Manida Street,3,2,0,2850.0
29,bronx,Mott Haven,2401 3rd Avenue,0.5,1,0,3001.0
30,bronx,Spuyten Duyvil,3615 Oxford Avenue,0.5,1,0,2126.0
31,bronx,Riverdale,630 West 246th Street,1,1,0,2195.0
32,bronx,Mott Haven,2401 3rd Avenue,0.5,1,0,2895.0
33,bronx,Kingsbridge,4578 Manhattan College Parkway,1,1,800,1650.0
34,bronx,Pelham Parkway,2160 Bronx Park East,1,1,1000,1900.0
35,bronx,Crotona Park East,1821 Trafalgar Place,2,1,0,1899.0
36,bronx,Parkchester,2013 Benedict Avenue,2,1,800,1850.0
37,bronx,Wakefield,759 East 235th Street,3,2,0,2500.0
38,bronx,Mott Haven,101 Bruckner Boulevard,2,2,0,3100.0
39,bronx,Mott Haven,101 Bruckner Boulevard,2,2,0,3300.0
40,bronx,Edenwald,13 Harper Court,3,2,0,2500.0
41,bronx,Concourse,1254 Sherman Avenue,3,1,0,2350.0
42,bronx,Mott Haven,2401 3rd Avenue,3,2,0,6134.0
43,bronx,New_Dev,224 East 135th Street,2,1,0,3388.0
44,bronx,Concourse,1254 Sherman Avenue,0.5,1,0,1600.0
45,bronx,Tremont,2080 Grand Concourse,0.5,1,0,1600.0
46,bronx,Mott Haven,2401 3rd Avenue,1,1,0,3083.0
47,bronx,Tremont,2090 Grand Concourse,1,1,0,1650.0
48,bronx,Fordham,2765 Briggs Avenue,1,1,800,1375.0
49,bronx,Concourse,1200 College Avenue,0.5,1,0,1325.0
50,bronx,North New York,420 East 148th Street,2,1,914,1995.0
51,bronx,Bedford Park,3175 Grand Concourse,0.5,1,402,1295.0
52,bronx,University Heights,2265 University Avenue,2,1,0,2250.0
53,bronx,University Heights,2265 University Avenue,1,1,0,1799.0
54,bronx,Concourse,1520 Sheridan Avenue,2,1,0,1995.0
55,bronx,Bronxwood,655 Pelham Parkway North,1,1,0,1650.0
56,bronx,Hunts Point,657 Manida Street,1,1,0,1955.0
57,bronx,Mott Haven,2401 3rd Avenue,0.5,1,0,3001.0
58,bronx,Concourse,1555 Grand Concourse,1,1,0,1650.0
59,bronx,Kingsbridge,3025 Godwin Terrace,1,1,0,1600.0
60,bronx,Mott Haven,2401 3rd Avenue,1,1,0,3453.0
61,bronx,Riverdale,6629 Broadway,1,1,0,1800.0
62,bronx,Riverdale,452 West 261st Street,3,2,0,3000.0
63,bronx,Kingsbridge,3616 Corlear Avenue,2,1,900,2400.0
64,bronx,Schuylerville,1534 Hollywood Avenue,3,1,1300,2695.0
65,bronx,Concourse,1348 Sheridan Avenue,1,1,0,1575.0
66,bronx,East Tremont,2004 Crotona Avenue,2,1,0,2200.0
67,bronx,East Tremont,2004 Crotona Avenue,3,2,0,2550.0
68,bronx,New_Dev,25 Bruckner Boulevard,2,1,0,2850.0
69,bronx,Melrose,726 Courtlandt Avenue,2,1,0,1995.0
70,bronx,New_Dev,228 East 135th Street,2,2,0,3429.0
71,bronx,Riverdale,3210 Riverdale Avenue,1,1,794,2300.0
72,bronx,Norwood,51 West Mosholu Parkway North,3,1,0,2307.0
73,bronx,Highbridge,1344 University Avenue,1,1,0,1650.0
74,bronx,Mott Haven,2401 3rd Avenue,2,2,0,4611.0
75,bronx,Pelham Parkway,2198 Cruger Avenue,2,1,0,2150.0
76,bronx,Kingsbridge Heights,147 West 230th Street,1,1,0,1700.0
77,bronx,Bedford Park,225 East 202nd Street,1,1,0,2394.0
78,bronx,Fordham,2721 Morris Avenue,2,1,0,2200.0
79,bronx,Crotona Park East,1821 Trafalgar Place,3,2,0,2999.0
80,bronx,Riverdale,3333 Henry Hudson Parkway,1,1,885,2650.0
81,bronx,Riverdale,3333 Henry Hudson Parkway,1,1,648,2195.0
