,Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent
0,brooklyn,Fort Greene,300 Ashland Place,2,2,0,6083.0
1,brooklyn,Downtown Brooklyn,125 Court Street,1,1,0,3995.0
2,brooklyn,Sunset Park,247 46th Street,3,1,0,2299.0
3,brooklyn,Borough Park,1145 39th Street,2,1,0,1950.0
4,brooklyn,New_Dev,21 India Street,1,1,700,4540.0
5,brooklyn,Prospect Lefferts Gardens,239 Ocean Avenue,2,1,0,2975.0
6,brooklyn,Bensonhurst,1514 West Eighth Street UNIT-B4,2,1,0,1695.0
7,brooklyn,Ditmas Park,319 East 19th Street,2,1,0,2299.0
8,brooklyn,Flatbush,206 Clarkson Avenue,3,1,0,2499.0
9,brooklyn,Prospect Lefferts Gardens,244 Hawthorne Street,2,1,0,2395.0
10,brooklyn,Bedford-Stuyvesant,63 Pulaski Street,3,1,0,2700.0
11,brooklyn,Kensington,23 Tehama Street,3,1,0,2495.0
12,brooklyn,Weeksville,192 Utica Avenue,4,1,0,2595.0
13,brooklyn,Crown Heights,240 Crown Street,2,1,1000,2300.0
14,brooklyn,Windsor Terrace,33 Caton Place,1,1,0,3150.0
15,brooklyn,Fort Greene,300 Ashland Place,1,1,0,4490.0
16,brooklyn,Weeksville,560 Ralph Avenue,2,1,0,1895.0
17,brooklyn,Homecrest,2233 Ocean Avenue,1,1,0,1595.0
18,brooklyn,New_Dev,21 India Street,0.5,1,493,3660.0
19,brooklyn,Crown Heights,1446 Pacific Street,3,1,0,2850.0
20,brooklyn,Fort Greene,475 Clermont Avenue,1,1.5,857,5460.0
21,brooklyn,Wingate,488 Lefferts Avenue,1,1,0,2600.0
22,brooklyn,Stuyvesant Heights,229 Bainbridge Street,2,1,0,2100.0
23,brooklyn,Downtown Brooklyn,248 Duffield Street,1,1,960,4394.0
24,brooklyn,Bushwick,81 Granite Street,3,2,0,3600.0
25,brooklyn,East Flatbush,3405 Foster Avenue,2,1,0,2200.0
26,brooklyn,Clinton Hill,555 Waverly Avenue,1,1,0,3200.0
27,brooklyn,Bushwick,174 Linden Street,2,1,0,1750.0
28,brooklyn,Downtown Brooklyn,309 Gold Street,2,1,0,4725.0
29,brooklyn,Stuyvesant Heights,806 Macon Street,2,1.5,1200,2475.0
30,brooklyn,Clinton Hill,487 Clinton Avenue,1,1,0,2400.0
31,brooklyn,Homecrest,2530 Ocean Avenue,1,1,0,1550.0
32,brooklyn,New_Dev,21 India Street,1,1,690,5310.0
33,brooklyn,Fort Hamilton,342 90th Street,3,1,0,2800.0
34,brooklyn,Fort Greene,50 South Oxford Street,1,1,0,2600.0
35,brooklyn,Midwood,1201 Ocean Parkway,2,1,1123,2250.0
36,brooklyn,Crown Heights,1007 President Street,3,1,0,2495.0
37,brooklyn,Bay Ridge,7901 Fourth Avenue,1,1,0,1650.0
38,brooklyn,Fort Greene,300 Ashland Place,2,2,0,6083.0
39,brooklyn,Flatbush,123 Linden Boulevard,2,2,0,4200.0
40,brooklyn,Flatbush,123 Linden Boulevard,1,1,0,3000.0
41,brooklyn,Midwood,855 East 7th Street,1,1,750,1850.0
42,brooklyn,Bushwick,123 Melrose Street,1,1,0,3800.0
43,brooklyn,Greenpoint,2 Blue Slip,1,1,0,4835.0
44,brooklyn,Flatbush,230 East 26th Street,1,1,0,1750.0
45,brooklyn,New_Dev,180 Myrtle Avenue,1,1,594,3746.0
46,brooklyn,New_Dev,21 India Street,1,1,700,4540.0
47,brooklyn,Crown Heights,1187 Sterling Place,2,2,0,3000.0
48,brooklyn,Williamsburg,418 Broadway,0.5,1,0,1695.0
49,brooklyn,Brooklyn Heights,168 State Street,0.5,1,0,1900.0
50,brooklyn,Williamsburg,239 North 9th Street,0.5,1,478,3740.0
51,brooklyn,East Williamsburg,248 Mc Kibbin Street,2,1,0,3750.0
52,brooklyn,Bushwick,1530 Putnam Avenue,3,1.5,0,3050.0
53,brooklyn,Greenwood,725 Fourth Avenue,3,1,0,2200.0
54,brooklyn,Prospect Park South,18 East 19th Street,2,2,1000,2200.0
55,brooklyn,Fort Greene,132 Lafayette Avenue,1,1,0,1950.0
56,brooklyn,Williamsburg,175 Kent Avenue,2,2,852,6105.0
57,brooklyn,New_Dev,21 India Street,1,1,690,5310.0
58,brooklyn,Williamsburg,121 North 1st Street,3,3.5,2800,12000.0
59,brooklyn,Williamsburg,494 Lorimer Street,2,1,1100,3400.0
60,brooklyn,New_Dev,21 India Street,0.5,1,493,3660.0
61,brooklyn,Fort Hamilton,8831 Ft Hamilton Parkway,1,1,0,1800.0
62,brooklyn,Crown Heights,563 Howard Avenue,2,1,0,1850.0
63,brooklyn,Crown Heights,351 Howard Avenue,1,1,0,1800.0
64,brooklyn,Clinton Hill,275 Vanderbilt Avenue,1,1,0,3650.0
65,brooklyn,Flatbush,1526 New York Avenue,1,1,0,2300.0
66,brooklyn,Ocean Hill,267 Hull Street,2,1,0,2000.0
67,brooklyn,City Line,621 Euclid Avenue,3,1,0,2100.0
68,brooklyn,Bushwick,531 Knickerbocker Avenue,1,1,0,2099.0
69,brooklyn,Weeksville,1930 Pacific Street,2,1,0,1999.0
70,brooklyn,New_Dev,365 Bond Street,1,1,0,4569.0
71,brooklyn,Midwood,1375 East 12th Street,3,2,1855,2700.0
72,brooklyn,Bushwick,1216 Hancock Street,2,1,850,2300.0
73,brooklyn,Park Slope,93 Sixth Avenue,1,1,0,2300.0
74,brooklyn,New_Dev,21 India Street,1,1,690,5310.0
75,brooklyn,Midwood,216 Avenue M,2,1,0,1800.0
