,Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent
0,manhattan,Midtown,271 W 47th Street,1,1,0,5324.0
1,manhattan,Murray Hill,245 East 40th Street,2,1.5,812,8350.0
2,manhattan,East Village,274 East Tenth Street,1,1,0,3000.0
3,manhattan,Soho,181 Prince Street,0.5,1,0,1825.0
4,manhattan,Midtown South,125 West 31st Street,1,1,0,4995.0
5,manhattan,Turtle Bay,333 East 43rd Street,1,1,0,3000.0
6,manhattan,West Village,236 West 10th Street,2,1,0,5800.0
7,manhattan,West Village,106 Charles Street,1,1.5,0,3100.0
8,manhattan,Lower East Side,137 Rivington Street,1,1,0,3195.0
9,manhattan,Morningside Heights,45 Tiemann Place,1,1,0,1917.0
10,manhattan,East Harlem,349 East 109th Street,1,1,0,1785.0
11,manhattan,Tribeca,50 Murray Street,4,2,1223,8925.0
12,manhattan,East Village,283 East 7th Street,2,1,0,2850.0
13,manhattan,New_Dev,252 South Street,1,1,695,4500.0
14,manhattan,Kips Bay,240 East 27th Street,3,2,1439,7226.0
15,manhattan,Lenox Hill,322 East 74th Street,0.5,1,0,2150.0
16,manhattan,East Harlem,112 East 103rd Street,0.5,1,0,1650.0
17,manhattan,Upper West Side,205 West 88th Street,2,1,1100,5350.0
18,manhattan,Midtown South,125 West 31st Street,1,1,0,4995.0
19,manhattan,East Village,189 East 3rd Street,2,1,0,3195.0
20,manhattan,East Harlem,402 East 118th Street,3,2,0,3925.0
21,manhattan,Lenox Hill,1229 First Avenue,2,1,0,2795.0
22,manhattan,East Harlem,402 East 118th Street,2,2,0,3775.0
23,manhattan,Yorkville,308 East 89th Street,1,1,0,2550.0
24,manhattan,Manhattan Valley,8 West 108th Street,5,2,0,6000.0
25,manhattan,Tribeca,78 Franklin Street,1,2,2000,9950.0
26,manhattan,East Harlem,402 East 118th Street,1,1,0,2600.0
27,manhattan,Hudson Heights,200 Haven Avenue,2,1,0,3000.0
28,manhattan,Hell's Kitchen,601 West 57th Street,0.5,1,0,3550.0
29,manhattan,New_Dev,70 West 37th Street,0.5,1,0,4295.0
30,manhattan,Lenox Hill,1235 First Avenue,1,1,0,2450.0
31,manhattan,Hell's Kitchen,931 Eighth Avenue,4,1,0,6500.0
32,manhattan,Midtown South,125 West 31st Street,1,1,0,4995.0
33,manhattan,Yorkville,350 East 87th Street,1,1,0,2017.0
34,manhattan,East Harlem,154 East 106th Street,0.5,1,0,1650.0
35,manhattan,Midtown South,50 W 34th Street,1,1,0,5100.0
36,manhattan,Roosevelt Island,405 Main Street,0.5,1,0,2871.0
37,manhattan,East Village,236 East 5th Street,5,2,0,7995.0
38,manhattan,Financial District,67 Wall Street,2,2,1157,5675.0
39,manhattan,East Village,178 East 2nd Street,1,1,0,3200.0
40,manhattan,Battery Park City,400 Chambers Street,2,2,0,8995.0
41,manhattan,Hell's Kitchen,330 West 45th Street,0.5,1,650,2800.0
42,manhattan,Midtown,235 W 48th Street,2,2,0,6695.0
43,manhattan,Hell's Kitchen,601 West 57th Street,1,1,0,4000.0
44,manhattan,Carnegie Hill,135 East 95th Street,2,1,0,2800.0
45,manhattan,Lincoln Square,244 West 72nd Street,0.5,1,0,2450.0
46,manhattan,Midtown South,125 West 31st Street,3,2,0,10000.0
47,manhattan,Battery Park City,375 South End Avenue,1,1,802,4510.0
48,manhattan,Battery Park City,375 South End Avenue,1,1,810,4495.0
49,manhattan,Financial District,11 Maiden Lane,2,1,0,3395.0
50,manhattan,Yorkville,1694 Second Avenue,1,1,700,2290.0
51,manhattan,Murray Hill,10 Park Avenue,0.5,1,0,2500.0
52,manhattan,Lincoln Square,103 West 69th Street,0.5,1,0,2300.0
53,manhattan,Turtle Bay,330 E. 46th Street,0.5,1,488,2900.0
54,manhattan,Turtle Bay,330 E. 46th Street,1,1,634,4100.0
55,manhattan,Turtle Bay,330 E. 46th Street,1,1,647,3800.0
56,manhattan,Gramercy Park,305 Second Avenue,2,2,1238,6500.0
57,manhattan,Lincoln Square,60 W 66th Street,1,1,0,4965.0
58,manhattan,New_Dev,751 E 6th Street,2,1,920,4750.0
59,manhattan,Hudson Square,330 Spring Street,2,2,1400,9800.0
60,manhattan,Midtown South,125 West 31st Street,0.5,1,0,3795.0
61,manhattan,Hamilton Heights,631 West 152nd Street,1,1,0,1700.0
62,manhattan,Hamilton Heights,468 West 153rd Street,1,1,0,2000.0
63,manhattan,New_Dev,222 East 44th Street,2,2,0,11300.0
64,manhattan,East Village,232 East 2nd Street,0.5,1,0,1775.0
65,manhattan,Fulton/Seaport,200 Water Street,0.5,1,570,3365.0
66,manhattan,Fulton/Seaport,200 Water Street,1,1,650,3900.0
67,manhattan,Hell's Kitchen,450 W 42nd Street,2,2,0,7180.0
68,manhattan,Carnegie Hill,120 East 90th Street,0.5,1,473,2750.0
69,manhattan,East Harlem,428 East 116th Street,2,1,0,1850.0
70,manhattan,Lenox Hill,220 E 72nd Street,2,2,0,9000.0
71,manhattan,Sutton Place,404 East 55th Street,1,1,875,5500.0
72,manhattan,Central Harlem,166 West 129th Street,0.5,1,0,1595.0
73,manhattan,Carnegie Hill,55 East 86th Street,1,1,0,3800.0
74,manhattan,New_Dev,222 East 44th Street,2,2,0,11300.0
75,manhattan,Kips Bay,480 2nd Avenue,1,1,670,4435.0
76,manhattan,Midtown,65 West 55th Street,1,1,0,3950.0
77,manhattan,East Village,277 East Seventh Street,2,2,1300,6300.0
78,manhattan,Yorkville,303 E 83rd Street,2,2,1038,5789.0
79,manhattan,Chelsea,777 6th Avenue,1,1,704,5032.0
80,manhattan,East Harlem,236 East 116th Street,2,1,0,2250.0
81,manhattan,Upper West Side,42 West 85th Street,0.5,1,0,2150.0
82,manhattan,Lower East Side,171 Suffolk Street,0.5,1,0,4095.0
83,manhattan,Yorkville,216 East 85th Street,0.5,1,0,2100.0
84,manhattan,Central Harlem,40 West 135th Street,1,1,781,2425.0
85,manhattan,Lincoln Square,60 W 66th Street,1,1,0,4905.0
86,manhattan,Central Harlem,60 East 130th Street,1,1,0,1799.0
87,manhattan,Hell's Kitchen,317 West 54th Street,1,1,0,2950.0
88,manhattan,Midtown South,125 West 31st Street,0.5,1,0,3795.0
89,manhattan,East Harlem,436 East 116th Street,2,1,936,2250.0
90,manhattan,Upper East Side,185 East 85th Street,0.5,1,575,3250.0
91,manhattan,Hell's Kitchen,330 West 56th Street,2,1,670,3600.0
92,manhattan,Lower East Side,123 Rivington Street,2,1,0,3800.0
93,manhattan,Lincoln Square,124 West 60th Street,1,1,0,3950.0
94,manhattan,Lenox Hill,147 East 61st Street,1,1,0,5275.0
95,manhattan,Chinatown,43 Mott Street,1,1,0,2495.0
96,manhattan,Chelsea,201 West 21st Street,0.5,1,0,3200.0
97,manhattan,Sutton Place,1097 Second Avenue,4,2,0,5250.0
98,manhattan,Murray Hill,626 First Avenue,2,2,0,11435.0
99,manhattan,Inwood,1795 Riverside Drive,3,1.5,0,3400.0
100,manhattan,Midtown South,160 Madison Avenue,1,1,0,5850.0
101,manhattan,Midtown South,160 Madison Avenue,1,1,0,6081.0
102,manhattan,Midtown South,125 West 31st Street,0.5,1,0,3795.0
103,manhattan,East Harlem,318 East 126th Street,0.5,1,0,1550.0
104,manhattan,East Village,338 East 13th Street,1,1,0,3800.0
105,manhattan,Lenox Hill,329 East 63rd Street,3,1,0,3600.0
106,manhattan,Manhattan Valley,8 Manhattan Avenue,2,1,0,2500.0
107,manhattan,Financial District,90 Washington Street,0.5,1,0,2675.0
108,manhattan,Central Harlem,166 West 129th Street APT---27,0.5,1,0,1495.0
109,manhattan,Yorkville,223 East 96th Street,1,1.5,0,3699.0
110,manhattan,Two Bridges,60 Henry Street,3,1,0,5000.0
111,manhattan,Hell's Kitchen,450 W 42nd Street,1,1,0,4840.0
112,manhattan,New_Dev,21 West End Avenue,2,2,0,9400.0
113,manhattan,Hell's Kitchen,300 West 55th Street,1,1,0,3350.0
114,manhattan,Chelsea,180 W 20th Street,1,1,0,5850.0
115,manhattan,Central Park South,106 Central Park South,0.5,1,406,2700.0
116,manhattan,Midtown South,125 West 31st Street,3,2,0,10000.0
117,manhattan,Upper West Side,227 Riverside Drive,1,1,0,3150.0
118,manhattan,Inwood,60 Seaman Avenue,1,1,0,2000.0
119,manhattan,Central Harlem,58 East 130th Street,1,1,0,1800.0
120,manhattan,Fulton/Seaport,135 William Street,5,2,1600,8722.0
121,manhattan,Upper West Side,227 Riverside Drive,1,1,0,3000.0
122,manhattan,Lower East Side,90 Rivington Street,2,1,0,2600.0
123,manhattan,East Village,150 East Third Street,2,1,0,3700.0
124,manhattan,Nolita,265 Elizabeth Street,3,2,0,7495.0
125,manhattan,Hamilton Heights,555 West 151st Street UNIT-67,4,2,0,3900.0
126,manhattan,Manhattan Valley,214 West 109th Street,3,1,0,3000.0
127,manhattan,East Harlem,2205 Third Avenue,1,1,0,2000.0
128,manhattan,South Harlem,280 West 115th Street,4,2,0,4600.0
129,manhattan,Greenwich Village,118 Macdougal Street,2,1,0,2800.0
130,manhattan,Midtown South,125 West 31st Street,0.5,1,0,3795.0
131,manhattan,Lenox Hill,300 East 75th Street,2,2.5,0,7495.0
132,manhattan,New_Dev,625 West 57th Street,2,2,0,7995.0
133,manhattan,Chelsea,243 West 21st Street,1,1,0,3150.0
134,manhattan,Lincoln Square,124 West 60th Street,1,1,0,5400.0
135,manhattan,Lincoln Square,124 West 60th Street,1,1,0,4600.0
136,manhattan,Hell's Kitchen,360 West 43rd Street,1,1,0,3600.0
137,manhattan,Lenox Hill,258 East 78th Street,0.5,1,0,2000.0
138,manhattan,Fort George,601 West 185th Street,2,1,0,2100.0
139,manhattan,East Village,250 East 10th Street,3,1,0,5795.0
140,manhattan,Murray Hill,626 First Avenue,2,2,0,11435.0
141,manhattan,Hell's Kitchen,672 Ninth Avenue,3,1,0,2850.0
142,manhattan,Fort George,75 Ellwood Street,2,1,0,2050.0
143,manhattan,NoMad,108 East 31st Street,4,1,0,5995.0
144,manhattan,Midtown South,125 West 31st Street,0.5,1,0,3795.0
145,manhattan,Noho,654 Broadway,0.5,1,1000,3600.0
146,manhattan,Washington Heights,551 West 160th Street,2,1,0,2250.0
147,manhattan,Lincoln Square,400 West 63rd Street,2,2,1267,9200.0
148,manhattan,Lincoln Square,400 West 63rd Street,2,2,1221,9180.0
149,manhattan,Gramercy Park,230 East 15th Street,0.5,1,0,2850.0
150,manhattan,Carnegie Hill,111 East 88th Street,0.5,3,1700,9750.0
151,manhattan,Financial District,90 Washington Street,0.5,1,0,3275.0
152,manhattan,East Harlem,205 East 115th Street,2,1,0,2600.0
153,manhattan,Turtle Bay,330 East 49th Street,0.5,1,0,2450.0
154,manhattan,Lenox Hill,322 East 74th Street,0.5,1,0,2150.0
155,manhattan,Lincoln Square,60 W 66th Street,1,1,850,5700.0
156,manhattan,Upper West Side,711 West End Avenue,0.5,1,0,3300.0
157,manhattan,Kips Bay,151-155 East 31st Street,1,1,656,4230.0
158,manhattan,Midtown South,125 West 31st Street,3,2,0,10000.0
159,manhattan,Hell's Kitchen,449 West 48th Street,2,1,0,4500.0
160,manhattan,East Village,213 East 10th Street,1,1,0,3195.0
