,Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent
0,queens,New_Dev,28-10 Jackson Avenue,2,2,0,5537.0
1,queens,Corona,98-23 Horace Harding Expressway,1,1,867,2438.0
2,queens,Elmhurst,41-40 Denman Street,1,1,0,2050.0
3,queens,South Jamaica,145-33 130th Avenue,3,2,1000,2700.0
4,queens,Belle Harbor,264 Beach 137th Street,2,2,850,2200.0
5,queens,Elmhurst,90-02 Queens Boulevard,1,1,0,2300.0
6,queens,Elmhurst,84-49 Elmhurst Avenue,0.5,1,440,1650.0
7,queens,Ridgewood,389 Onderdonk Avenue,2,1,0,2499.0
8,queens,Astoria,28-42 38th Street,1,1,800,2095.0
9,queens,Jackson Heights,35-63 79th Street,2,1,0,2500.0
10,queens,Ditmars-Steinway,21-34 33rd Street,2,1,0,3500.0
11,queens,Jackson Heights,37-46 72nd Street,0.5,1,0,2150.0
12,queens,Rego Park,63-109 Saunders Street,1,1,0,1900.0
13,queens,Hunters Point,4-75 48th Avenue,1,1,684,3310.0
14,queens,New_Dev,43-22 Queens Street,0.5,1,0,3090.0
15,queens,Sunnyside,41-00 43rd Avenue,1,1,850,2050.0
16,queens,Long Island City,29-28 41st Avenue,0.5,1,0,1995.0
17,queens,Rego Park,64-62 Booth Street,2,2,0,2595.0
18,queens,Ditmars-Steinway,23-58 37th Street,3,1.5,0,2650.0
19,queens,Astoria,32-58 31st Street,2,1,975,2499.0
20,queens,Ditmars-Steinway,21-14 21st Avenue,1,1,600,1600.0
21,queens,Astoria,32-07 Broadway,3,2,1200,3600.0
22,queens,New_Dev,44-41 Purves Street,2,2,1000,4799.0
23,queens,Sunnyside,41-32 44th Street,1,1,650,2300.0
24,queens,Astoria,28-25 33rd Street,1,1,700,1900.0
25,queens,Long Island City,29-11 Queens Plaza North,1,1,0,3400.0
26,queens,Forest Hills,102-10 Queens Boulevard,1,1,850,2375.0
27,queens,Forest Hills,102-10 Queens Boulevard,0.5,1,541,1850.0
28,queens,Oakland Gardens,61-35 224th Street,2,1,0,2000.0
29,queens,Astoria,30-34 32nd Street,2,1,678,2200.0
