,Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent
0,staten-island,West Brighton,49 Barker Street,5,2,0,2400.0
1,staten-island,Shore Acres,36 Evelyn Place BASEMENT,1,1,0,1500.0
2,staten-island,Shore Acres,36 Evelyn Place,3,3,0,3500.0
3,staten-island,Shore Acres,50 Belair Road,2,1,1000,2000.0
4,staten-island,Graniteville,147 Kirshon Avenue,1,1,400,1350.0
5,staten-island,Pleasant Plains,6380 Amboy Road,2,1,1250,2500.0
6,staten-island,Tompkinsville,33 Natalie Court,3,2.5,1500,2650.0
7,staten-island,Grasmere,136 Fayette Avenue,1,1,0,1500.0
8,staten-island,Annadale,48 Ionia Avenue,2,1,0,1699.0
9,staten-island,South Beach,89 Mills Avenue,3,1,1350,2500.0
10,staten-island,Grymes Hill,132 Arlo Road,1,1,0,1800.0
11,staten-island,Grymes Hill,492 Howard Avenue,2,1,0,2075.0
12,staten-island,New Springville,31 Lamped Loop,2,1,0,2200.0
13,staten-island,Woodrow,1528 Drumgoole Road West,1,1,650,1280.0
14,staten-island,Great Kills,50 Harbour Court,3,2.5,2000,4250.0
15,staten-island,Stapleton,7 Navy Pier Court,0.5,1,0,2395.0
16,staten-island,New Dorp,26 Ebbitts Street,1,1,0,1795.0
