Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent
bronx,Tremont,2065 Ryer Avenue,2.0,1,719,2217.0
bronx,Crotona Park East,1169 Hoe Avenue,2.0,1,0,2425.0
bronx,Highbridge,1515 Macombs Road,1.0,1,0,1800.0
bronx,Norwood,31 West Mosholu Parkway North,2.0,1,0,1950.0
bronx,New_Dev,2401 3rd Avenue,1.0,1,0,3132.0
bronx,Kingsbridge Heights,114 West 238th Street,1.0,1,450,1700.0
bronx,Fordham,2692 Creston Avenue,1.0,1,0,2150.0
bronx,Fordham,2692 Creston Avenue,2.0,1,0,2350.0
bronx,New_Dev,2401 3rd Avenue,0.5,1,0,2991.0
bronx,University Heights,2265 University Avenue,1.0,1,0,1750.0
bronx,Tremont,2095 Grand Concourse,1.0,1,0,1525.0
bronx,New_Dev,2401 3rd Avenue,0.5,1,0,3291.0
bronx,Tremont,2095 Grand Concourse,2.0,1,0,1725.0
bronx,Riverdale,3240 Henry Hudson Parkway East,2.0,2,0,2850.0
bronx,New_Dev,2401 3rd Avenue,2.0,2,0,4972.0
bronx,New_Dev,2401 3rd Avenue,1.0,1,0,3214.0
bronx,Mott Haven,101 Bruckner Boulevard,2.0,2,0,3200.0
bronx,Riverdale,5421 Sylvan Avenue,1.0,1,0,1650.0
bronx,New_Dev,2401 3rd Avenue,3.0,2,0,5025.0
bronx,University Heights,2471 Grand Avenue,3.0,1,0,2500.0
bronx,Throgs Neck,2879 Philip Avenue,1.0,1,0,1975.0
bronx,Riverdale,5530 Netherland Avenue,2.0,1,0,2400.0
bronx,Soundview,102 Lighthouse Court,2.0,1,800,2100.0
bronx,Woodlawn,108 East 237th Street,3.0,1,1500,3000.0
bronx,North New York,522 East 142nd Street,2.0,1,725,2395.0
bronx,Bronxwood,2700 Bronx Park East,1.0,1,483,1625.0
bronx,New_Dev,2401 3rd Avenue,0.5,1,453,2943.0
bronx,New_Dev,2401 3rd Avenue,1.0,1,0,3478.0
bronx,New_Dev,2401 3rd Avenue,0.5,1,453,2943.0
bronx,New_Dev,2401 3rd Avenue,0.5,1,0,3256.0
bronx,New_Dev,2401 3rd Avenue,0.5,1,439,2905.0
bronx,New_Dev,2401 3rd Avenue,1.0,1,0,3132.0
bronx,New_Dev,2401 3rd Avenue,1.0,1,0,3132.0
bronx,North New York,408 East 134th Street,1.0,1,0,2150.0
bronx,University Heights,2201 Jerome Avenue,1.0,1,0,1850.0
bronx,Parkchester,2240 East Tremont Avenue,0.5,1,395,1350.0
bronx,University Heights,2265 University Avenue,0.5,1,0,1475.0
bronx,Riverdale,3636 Fieldston Road,1.0,1,800,2000.0
bronx,New_Dev,228 East 135th Street,0.5,1,0,2175.0
bronx,Bronx,22 East 212th Street,2.0,1,0,2200.0
bronx,Morris Heights,1633 Macombs Road,1.0,1,0,1850.0
bronx,New_Dev,228 East 135th Street,2.0,1,0,2800.0
bronx,New_Dev,276 Grand Concourse,2.0,2,0,3550.0
bronx,New_Dev,2401 3rd Avenue,2.0,2,0,4972.0
bronx,New_Dev,228 East 135th Street,1.0,1,0,2245.0
bronx,Concourse,343 East 173rd Street,1.0,1,0,1750.0
bronx,New_Dev,2401 3rd Avenue,0.5,1,453,2943.0
bronx,City Island,456 City Island Avenue,1.0,1,0,1695.0
bronx,Morris Heights,1635 Macombs Road,1.0,1,0,1850.0
bronx,Belmont,518 East 187th Street,1.0,1,0,1475.0
bronx,Spuyten Duyvil,2728 Henry Hudson Parkway,1.0,1,850,2250.0
bronx,Kingsbridge Heights,3340 Fort Independence Street,0.5,1,0,1625.0
bronx,Concourse,1254 Sherman Avenue,1.0,1,600,1050.0
bronx,Fordham,2700 Creston Avenue,1.0,1,0,1657.0
bronx,Bronxwood,2720 Bronx Park East,1.0,1,0,1625.0
bronx,Spuyten Duyvil,2465 Palisade Avenue,1.0,1,1000,3300.0
bronx,New_Dev,2401 3rd Avenue,0.5,1,0,3095.0
bronx,Belmont,502 East 189th Street,1.0,1,0,1768.0
bronx,Morris Park,2106 Wallace Avenue,0.5,1,650,1500.0
bronx,Spuyten Duyvil,2600 Netherland Avenue,2.0,2,1250,3375.0
bronx,New_Dev,228 East 135th Street,2.0,1,0,2800.0
bronx,Bronxwood,2760 Barnes Avenue,2.0,1,1000,2100.0
bronx,Riverdale,6425 Broadway,1.0,1,0,1850.0
bronx,Concourse,1200 College Avenue,1.0,1,0,1750.0
bronx,Mott Haven,101 Bruckner Boulevard,1.0,2,0,3600.0
bronx,Mott Haven,101 Bruckner Boulevard,1.0,1,0,2300.0
bronx,Mott Haven,101 Bruckner Boulevard,2.0,2,0,3300.0
bronx,Mott Haven,101 Bruckner Boulevard,2.0,2,0,3200.0
bronx,Kingsbridge,3422 Irwin Avenue,5.0,3,0,4000.0
bronx,Riverdale,3820 Waldo Avenue,1.0,1,0,1850.0
bronx,Williamsbridge,900A East 213rd Street,3.0,1,0,2250.0
bronx,New_Dev,2401 3rd Avenue,0.5,1,0,3291.0
bronx,Riverdale,3707 Blackstone Avenue,3.0,2,1735,6900.0
bronx,Riverdale,4705 Henry Hudson Parkway,1.0,1,0,2200.0
bronx,New_Dev,2401 3rd Avenue,2.0,2,0,4796.0
bronx,Riverdale,4901 Henry Hudson Parkway West,1.0,1,0,2200.0
bronx,Country Club,1130 Stadium Avenue,1.0,1,0,1895.0
bronx,Melrose,381 East 151st Street,1.0,1,0,1550.0
bronx,Pelham Parkway,2120 Cruger Avenue,1.0,1,0,1750.0
bronx,Spuyten Duyvil,2728 Henry Hudson Parkway,3.0,2,1200,3250.0
bronx,Concourse,85 Mcclellan Street,1.0,1,0,1795.0
bronx,North New York,443 East 141st Street,3.0,2.5,0,2850.0
bronx,North New York,466 Concord Avenue,2.0,1,0,2000.0
bronx,Fordham,2376 Ryer Avenue,2.0,1,0,1725.0
bronx,New_Dev,276 Grand Concourse,0.5,1,0,2165.0
bronx,New_Dev,276 Grand Concourse,1.0,1,0,2825.0
bronx,West Farms,984 Bronx Park South,2.0,1,0,1725.0
bronx,Pelham Parkway,1025 Esplanade,1.0,1,0,1750.0
bronx,New_Dev,2401 3rd Avenue,2.0,2,0,4962.0
bronx,Mott Haven,101 Bruckner Boulevard,1.0,1,0,2300.0
bronx,Concourse,1515 Grand Concourse,1.0,1,0,1750.0
bronx,Mott Haven,101 Bruckner Boulevard,2.0,2,0,3300.0
bronx,Fordham,2825 Grand Concourse,2.0,1,0,2000.0
bronx,Norwood,1 East 213rd Street,1.0,1,0,1400.0
bronx,Mott Haven,101 Bruckner Boulevard,2.0,2,0,3200.0
bronx,Throgs Neck,3153 Lafayette Avenue,3.0,1,980,2700.0
bronx,Riverdale,3660 Waldo Avenue,2.0,1,0,2500.0
bronx,Bronxwood,2702 Bronx Park East,1.0,1,0,1625.0
bronx,New_Dev,2401 3rd Avenue,0.5,1,0,3221.0
bronx,Crotona Park East,1536 Longfellow Avenue,4.0,1,0,2350.0
bronx,Castle Hill,2068 Story Avenue,3.0,1,0,2250.0
bronx,Kingsbridge,3415 Corlear Avenue,3.0,2,0,2850.0
bronx,New_Dev,2401 3rd Avenue,0.5,1,453,2943.0
bronx,Wakefield,1012 East 223rd Street,3.0,1.5,0,2900.0
bronx,Riverdale,3707 Blackstone Avenue,1.0,1,900,3500.0
bronx,Fordham,2721 Morris Avenue,1.0,1,0,1495.0
bronx,West Farms,932 Bronx Park South,0.5,1,0,1500.0
bronx,Westchester Square,1502 Hone Avenue,0.5,1,0,1250.0
