Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent
manhattan,Chelsea,130 W 15th Street,2.0,2,0,9150.0
manhattan,Murray Hill,401 East 34th Street,2.0,2,1085,6276.0
manhattan,Washington Heights,432 West 163rd Street,2.0,1,0,2646.0
manhattan,South Harlem,207 West 121st Street,0.5,1,0,1950.0
manhattan,New_Dev,420 E 54th Street,1.0,2,851,5869.0
manhattan,Upper West Side,255 W 94th Street,1.0,1,0,4350.0
manhattan,Upper West Side,255 W 94th Street,1.0,1,0,4295.0
manhattan,Upper West Side,255 W 94th Street,0.5,1,0,3850.0
manhattan,Upper West Side,255 W 94th Street,1.0,1,0,4095.0
manhattan,Upper West Side,255 W 94th Street,3.0,2,0,10500.0
manhattan,Financial District,120 Greenwich Street,1.0,1,568,3850.0
manhattan,Upper West Side,212 West 91st Street,0.5,1,0,2900.0
manhattan,Washington Heights,838 Riverside Drive,3.0,1,0,3800.0
manhattan,Battery Park City,377 Rector Place,1.0,1,621,4000.0
manhattan,West Chelsea,312 11th Avenue,0.5,1,535,3550.0
manhattan,Kips Bay,240 East 27th Street,1.0,1,941,4840.0
manhattan,Midtown,260 West 52nd Street,1.0,1,616,4135.0
manhattan,West Village,53 Leroy Street,1.0,2,0,6495.0
manhattan,New_Dev,645 West 59th Street,3.0,3.5,2026,31000.0
manhattan,Inwood,65 Post Avenue,1.0,1,0,1850.0
manhattan,Little Italy,160 Mott Street,1.0,1,380,2100.0
manhattan,Lenox Hill,1411 York Avenue,0.5,1,0,2450.0
manhattan,Lenox Hill,1411 York Avenue,0.5,1,0,2700.0
manhattan,Lenox Hill,1409 York Avenue,0.5,1,0,2450.0
manhattan,Carnegie Hill,173 East 87th Street,2.0,1,600,1800.0
manhattan,Lenox Hill,1409 York Avenue,1.0,1,0,2650.0
manhattan,Lenox Hill,795 Lexington Avenue,1.0,1,500,2395.0
manhattan,Hamilton Heights,139 Edgecombe Avenue,3.0,1,1000,2945.0
manhattan,Midtown South,160 Madison Avenue,2.0,2,0,7200.0
manhattan,Murray Hill,41 Park Avenue,1.0,1,700,8050.0
manhattan,Lower East Side,353 Grand Street,2.0,1,0,3750.0
manhattan,East Harlem,1646 Madison Avenue,2.0,1,0,1950.0
manhattan,Lincoln Square,101 West End Avenue,1.0,1,515,4625.0
manhattan,East Harlem,182 East 111st Street,3.0,2,1000,3180.0
manhattan,Lower East Side,353 Grand Street,4.0,2,0,5500.0
manhattan,Upper West Side,15 West 75th Street,2.0,1,1350,7190.0
manhattan,Washington Heights,1306 Saint Nicholas Avenue,1.0,1,0,1900.0
manhattan,Hell's Kitchen,787 Ninth Avenue,1.0,1,0,2100.0
manhattan,Upper West Side,15 West 75th Street,1.0,1,800,4195.0
manhattan,East Village,211 Avenue A,1.0,1,0,3200.0
manhattan,Kips Bay,222 East 34th Street,1.0,1,0,4650.0
manhattan,Kips Bay,222 East 34th Street,1.0,1,0,3775.0
manhattan,Hell's Kitchen,500 W 56th Street,1.0,1,0,4275.0
manhattan,Murray Hill,240 East 39th Street,2.0,2.5,0,8195.0
manhattan,Hell's Kitchen,693 Ninth Avenue,2.0,1,0,3895.0
manhattan,Financial District,63 Wall Street,1.0,1,0,4800.0
manhattan,Midtown South,309 5th Avenue,1.0,1,646,5020.0
manhattan,East Village,120 East 4th Street,0.5,1,0,2700.0
manhattan,Murray Hill,330 East 39th Street,1.0,1,0,4100.0
manhattan,Hamilton Heights,545 West 148th Street,3.0,1,900,2700.0
manhattan,Murray Hill,305 East 40th Street,2.0,1,950,5200.0
manhattan,Murray Hill,401 East 34th Street,1.0,1,675,4191.0
manhattan,Murray Hill,401 East 34th Street,1.0,2,1018,5406.0
manhattan,Murray Hill,401 East 34th Street,1.0,1,678,4309.0
manhattan,Central Harlem,352 Lenox Avenue,3.0,1,0,3250.0
manhattan,Nolita,242 Mulberry Street,0.5,1,0,3095.0
manhattan,New_Dev,222 East 44th Street,1.0,1,0,5675.0
manhattan,Murray Hill,130 East 37th Street,0.5,1,0,3000.0
manhattan,Financial District,63 Wall Street,0.5,1,0,4095.0
manhattan,Financial District,63 Wall Street,0.5,1,469,3595.0
manhattan,NoMad,776 Sixth Avenue,0.5,1,431,4090.0
manhattan,Gramercy Park,290 Third Avenue,1.0,1,0,6030.0
manhattan,Kips Bay,220 East 24th Street,3.0,2,0,5850.0
manhattan,Hell's Kitchen,322 West 47th Street,1.0,1,0,2795.0
manhattan,Nolita,242 Mulberry Street,1.0,1,0,4195.0
manhattan,Kips Bay,220 East 24th Street,0.5,1,0,2795.0
manhattan,Sutton Place,335 East 54th Street,1.0,1,0,3300.0
manhattan,Upper West Side,469 Columbus Avenue,3.0,1.5,0,4700.0
manhattan,Nolita,242 Mulberry Street,1.0,1,0,3695.0
manhattan,Inwood,612 Academy Street,1.0,1,0,1875.0
manhattan,NoMad,50 East 28th Street,0.5,1,460,4255.0
manhattan,Midtown South,100 West 31st Street,1.0,1,0,5900.0
manhattan,Kips Bay,215 East 24th Street,1.0,1.5,850,4200.0
manhattan,Upper West Side,205 West 88th Street,2.0,1,1000,4995.0
manhattan,New_Dev,420 E 54th Street,2.0,2,772,6053.0
manhattan,East Harlem,2335 First Avenue,1.0,1,0,2000.0
manhattan,New_Dev,222 East 44th Street,1.0,1,0,5675.0
manhattan,Hell's Kitchen,550 West 54th Street,0.5,1,0,3595.0
manhattan,Lenox Hill,330 East 75th Street,1.0,1,650,3695.0
manhattan,Hell's Kitchen,450 W 42nd Street,1.0,1,0,5060.0
manhattan,Hell's Kitchen,450 W 42nd Street,1.0,1,0,5250.0
manhattan,Flatiron,1 Union Sq S,0.5,1,0,5215.0
manhattan,Murray Hill,165 East 35th Street,0.5,1,0,3100.0
manhattan,East Village,114 East 13th Street,1.0,1,1100,6500.0
manhattan,Fulton/Seaport,15 Cliff Street,1.0,1,710,4815.0
manhattan,Lenox Hill,10 East 62nd Street,3.0,4.5,4200,39995.0
manhattan,Hell's Kitchen,440 West 47th Street,3.0,1,0,5200.0
manhattan,Lower East Side,49 Clinton Street,1.0,1,0,2995.0
manhattan,New_Dev,225 West 28th Street,1.0,1,0,6700.0
manhattan,NoMad,10 E 29th Street,3.0,3,0,14748.0
manhattan,Murray Hill,222 East 35th Street,1.0,1,800,3400.0
manhattan,East Village,211 East 13th Street,1.0,1,855,6950.0
manhattan,Kips Bay,143 East 30th Street,0.5,1,0,2100.0
manhattan,Hell's Kitchen,1 Columbus Place,1.0,1,0,5000.0
manhattan,Lincoln Square,75 West End Avenue,1.0,1,0,4100.0
