Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent
queens,Jamaica,153-30 89th Avenue,2.0,2,1040,3000.0
queens,Corona,97-11 Horace Harding Expressway,1.0,1,713,2003.0
queens,Elmhurst,85-14 57 Road,1.0,1,0,1995.0
queens,Astoria,32-57 46th Street,3.0,2,1200,3500.0
queens,Long Island City,29-59 Northern Boulevard,0.5,1,0,3184.0
queens,Rego Park,98-50 63 Drive,0.5,1,0,1600.0
queens,Woodside,33-16 61st Street,2.0,1,0,2250.0
queens,Briarwood,147-94 Grand Cent Parkway,1.0,1,850,1900.0
queens,Hunters Point,42-20 27th Street,2.0,2,0,5010.0
queens,Rego Park,61-55 Junction Boulevard,1.0,1,685,2875.0
queens,Forest Hills,68-35 Juno Street,3.0,2,0,3650.0
queens,Astoria,28-05 43rd Street,1.0,1,650,1800.0
queens,Hunters Point,1-50 50th Avenue,3.0,2,1141,4739.0
queens,Briarwood,139-31 85 Drive,0.5,1,400,1450.0
queens,Woodside,43-27A 54th Street,3.0,2,1000,2900.0
queens,Forest Hills,"6120 Grand Central Parkway,",1.0,1,875,1850.0
queens,Hunters Point,1-50 50th Avenue,2.0,2,989,4020.0
queens,Astoria,31-52 45th Street,3.0,1,1000,2700.0
queens,Long Island City,29-59 Northern Boulevard,3.0,2,0,6491.0
queens,Sunnyside,44-15 43rd Avenue,1.0,1,750,2000.0
queens,Ridgewood,68-07 Forest Avenue,4.0,1.5,0,3300.0
queens,New_Dev,28-40 Jackson Avenue,2.0,2,0,5218.0
queens,Astoria,30-19 49th Street,2.0,1,1000,2400.0
queens,Jamaica Estates,87-01 Midland Parkway,0.5,1,600,1500.0
queens,Briarwood,84-06 143rd Street,1.0,1,748,1895.0
queens,Sunnyside,52-22 35th Street,1.0,1,0,1600.0
queens,Glendale,78-56 76th Street,2.0,1,0,2300.0
queens,Kew Gardens,125-16 83 Drive,0.5,1,600,1575.0
queens,Ditmars-Steinway,21-38 46th Street,3.0,1,0,4000.0
queens,Astoria,10 Halletts Point,2.0,2.5,0,6395.0
queens,Jackson Heights,74-15 35th Avenue,2.0,1,775,2350.0
queens,Jamaica Estates,87-03 Kingston Place,3.0,2,0,2500.0
queens,Long Island City,29-59 Northern Boulevard,2.0,1,0,5921.0
queens,New_Dev,30-92 29th Street,2.0,1,0,3500.0
queens,Flushing,140-21 32nd Avenue,1.0,1,700,2200.0
queens,Sunnyside,41-25 44th Street,1.0,1,0,1900.0
queens,Astoria,30-71 33rd Street,1.0,1,0,1895.0
queens,Astoria,35-21 Crescent Street,3.0,1,0,3500.0
queens,Murray Hill (Queens),163-04 Crocheron Avenue,1.0,1,780,1975.0
queens,Long Island City,29-17 40th Avenue,0.5,1,0,3000.0
queens,Ridgewood,1880 Gates Avenue,4.0,1.5,0,3399.0
queens,Briarwood,82-50 135th Street,1.0,1,750,1785.0
queens,Long Island City,29-59 Northern Boulevard,1.0,1,0,5220.0
queens,New_Dev,44-28 Purves Street,2.0,2,0,5646.0
queens,Kew Gardens,118-71 80 Road,1.0,"600
",0,1650.0
queens,Jackson Heights,74-15 35th Avenue,1.0,1,690,2150.0
queens,Long Island City,29-59 Northern Boulevard,3.0,2,0,6491.0
queens,Maspeth,69-79 Caldwell Avenue,0.5,1,0,1600.0
queens,Woodside,32-57 60th Street,3.0,1,1100,2400.0
queens,Astoria,26-07 18th Street,1.0,1,0,2000.0
queens,Maspeth,60-15 Fresh Pond Road,1.0,1,0,1925.0
queens,Ditmars-Steinway,45-02 Ditmars Boulevard,1.0,1,750,2300.0
queens,Flushing,42-11 Parsons Boulevard,1.0,1,750,1875.0
queens,Kew Gardens Hills,70-13 Park Drive East,1.0,1,0,1800.0
