Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent
bronx,Tremont,2065 Ryer Avenue,2.0,1.0,719.0,2217.0
bronx,Crotona Park East,1169 Hoe Avenue,2.0,1.0,848.76,2425.0
bronx,Highbridge,1515 Macombs Road,1.0,1.0,631.43,1800.0
bronx,Norwood,31 West Mosholu Parkway North,2.0,1.0,833.22,1950.0
bronx,New_Dev,2401 3rd Avenue,1.0,1.0,675.0,3132.0
bronx,Kingsbridge Heights,114 West 238th Street,1.0,1.0,450.0,1700.0
bronx,Fordham,2692 Creston Avenue,1.0,1.0,642.88,2150.0
bronx,Fordham,2692 Creston Avenue,2.0,1.0,846.31,2350.0
bronx,New_Dev,2401 3rd Avenue,0.5,1.0,571.95,2991.0
bronx,University Heights,2265 University Avenue,1.0,1.0,629.79,1750.0
bronx,Tremont,2095 Grand Concourse,1.0,1.0,622.43,1525.0
bronx,New_Dev,2401 3rd Avenue,0.5,1.0,581.76,3291.0
bronx,Tremont,2095 Grand Concourse,2.0,1.0,825.86,1725.0
bronx,Riverdale,3240 Henry Hudson Parkway East,2.0,2.0,1171.26,2850.0
bronx,New_Dev,2401 3rd Avenue,2.0,2.0,1240.69,4972.0
bronx,New_Dev,2401 3rd Avenue,1.0,1.0,677.69,3214.0
bronx,Mott Haven,101 Bruckner Boulevard,2.0,2.0,1182.71,3200.0
bronx,Riverdale,5421 Sylvan Avenue,1.0,1.0,626.52,1650.0
bronx,New_Dev,2401 3rd Avenue,3.0,2.0,1439.31,5025.0
bronx,University Heights,2471 Grand Avenue,3.0,1.0,1048.1,2500.0
bronx,Throgs Neck,2879 Philip Avenue,1.0,1.0,637.15,1975.0
bronx,Riverdale,5530 Netherland Avenue,2.0,1.0,847.94,2400.0
bronx,Soundview,102 Lighthouse Court,2.0,1.0,800.0,2100.0
bronx,Woodlawn,108 East 237th Street,3.0,1.0,1500.0,3000.0
bronx,North New York,522 East 142nd Street,2.0,1.0,725.0,2395.0
bronx,Bronxwood,2700 Bronx Park East,1.0,1.0,483.0,1625.0
bronx,New_Dev,2401 3rd Avenue,0.5,1.0,453.0,2943.0
bronx,New_Dev,2401 3rd Avenue,1.0,1.0,686.32,3478.0
bronx,New_Dev,2401 3rd Avenue,0.5,1.0,453.0,2943.0
bronx,New_Dev,2401 3rd Avenue,0.5,1.0,580.62,3256.0
bronx,New_Dev,2401 3rd Avenue,0.5,1.0,439.0,2905.0
bronx,New_Dev,2401 3rd Avenue,1.0,1.0,675.0,3132.0
bronx,New_Dev,2401 3rd Avenue,1.0,1.0,675.0,3132.0
bronx,North New York,408 East 134th Street,1.0,1.0,642.88,2150.0
bronx,University Heights,2201 Jerome Avenue,1.0,1.0,633.06,1850.0
bronx,Parkchester,2240 East Tremont Avenue,0.5,1.0,395.0,1350.0
bronx,University Heights,2265 University Avenue,0.5,1.0,522.35,1475.0
bronx,Riverdale,3636 Fieldston Road,1.0,1.0,800.0,2000.0
bronx,New_Dev,228 East 135th Street,0.5,1.0,545.25,2175.0
bronx,Bronx,22 East 212th Street,2.0,1.0,841.4,2200.0
bronx,Morris Heights,1633 Macombs Road,1.0,1.0,633.06,1850.0
bronx,New_Dev,228 East 135th Street,2.0,1.0,861.03,2800.0
bronx,New_Dev,276 Grand Concourse,2.0,2.0,1194.16,3550.0
bronx,New_Dev,2401 3rd Avenue,2.0,2.0,1240.69,4972.0
bronx,New_Dev,228 East 135th Street,1.0,1.0,645.99,2245.0
bronx,Concourse,343 East 173rd Street,1.0,1.0,629.79,1750.0
bronx,New_Dev,2401 3rd Avenue,0.5,1.0,453.0,2943.0
bronx,City Island,456 City Island Avenue,1.0,1.0,627.99,1695.0
bronx,Morris Heights,1635 Macombs Road,1.0,1.0,633.06,1850.0
bronx,Belmont,518 East 187th Street,1.0,1.0,620.8,1475.0
bronx,Spuyten Duyvil,2728 Henry Hudson Parkway,1.0,1.0,850.0,2250.0
bronx,Kingsbridge Heights,3340 Fort Independence Street,0.5,1.0,527.26,1625.0
bronx,Concourse,1254 Sherman Avenue,1.0,1.0,600.0,1050.0
bronx,Fordham,2700 Creston Avenue,1.0,1.0,626.75,1657.0
bronx,Bronxwood,2720 Bronx Park East,1.0,1.0,625.7,1625.0
bronx,Spuyten Duyvil,2465 Palisade Avenue,1.0,1.0,1000.0,3300.0
bronx,New_Dev,2401 3rd Avenue,0.5,1.0,575.35,3095.0
bronx,Belmont,502 East 189th Street,1.0,1.0,630.38,1768.0
bronx,Morris Park,2106 Wallace Avenue,0.5,1.0,650.0,1500.0
bronx,Spuyten Duyvil,2600 Netherland Avenue,2.0,2.0,1250.0,3375.0
bronx,New_Dev,228 East 135th Street,2.0,1.0,861.03,2800.0
bronx,Bronxwood,2760 Barnes Avenue,2.0,1.0,1000.0,2100.0
bronx,Riverdale,6425 Broadway,1.0,1.0,633.06,1850.0
bronx,Concourse,1200 College Avenue,1.0,1.0,629.79,1750.0
bronx,Mott Haven,101 Bruckner Boulevard,1.0,2.0,998.91,3600.0
bronx,Mott Haven,101 Bruckner Boulevard,1.0,1.0,647.79,2300.0
bronx,Mott Haven,101 Bruckner Boulevard,2.0,2.0,1185.99,3300.0
bronx,Mott Haven,101 Bruckner Boulevard,2.0,2.0,1182.71,3200.0
bronx,Kingsbridge,3422 Irwin Avenue,5.0,3.0,2108.15,4000.0
bronx,Riverdale,3820 Waldo Avenue,1.0,1.0,633.06,1850.0
bronx,Williamsbridge,900A East 213rd Street,3.0,1.0,1039.92,2250.0
bronx,New_Dev,2401 3rd Avenue,0.5,1.0,581.76,3291.0
bronx,Riverdale,3707 Blackstone Avenue,3.0,2.0,1735.0,6900.0
bronx,Riverdale,4705 Henry Hudson Parkway,1.0,1.0,644.51,2200.0
bronx,New_Dev,2401 3rd Avenue,2.0,2.0,1234.93,4796.0
bronx,Riverdale,4901 Henry Hudson Parkway West,1.0,1.0,644.51,2200.0
bronx,Country Club,1130 Stadium Avenue,1.0,1.0,634.54,1895.0
bronx,Melrose,381 East 151st Street,1.0,1.0,623.25,1550.0
bronx,Pelham Parkway,2120 Cruger Avenue,1.0,1.0,629.79,1750.0
bronx,Spuyten Duyvil,2728 Henry Hudson Parkway,3.0,2.0,1200.0,3250.0
bronx,Concourse,85 Mcclellan Street,1.0,1.0,631.26,1795.0
bronx,North New York,443 East 141st Street,3.0,2.5,1522.45,2850.0
bronx,North New York,466 Concord Avenue,2.0,1.0,834.86,2000.0
bronx,Fordham,2376 Ryer Avenue,2.0,1.0,825.86,1725.0
bronx,New_Dev,276 Grand Concourse,0.5,1.0,544.93,2165.0
bronx,New_Dev,276 Grand Concourse,1.0,1.0,664.96,2825.0
bronx,West Farms,984 Bronx Park South,2.0,1.0,825.86,1725.0
bronx,Pelham Parkway,1025 Esplanade,1.0,1.0,629.79,1750.0
bronx,New_Dev,2401 3rd Avenue,2.0,2.0,1240.36,4962.0
bronx,Mott Haven,101 Bruckner Boulevard,1.0,1.0,647.79,2300.0
bronx,Concourse,1515 Grand Concourse,1.0,1.0,629.79,1750.0
bronx,Mott Haven,101 Bruckner Boulevard,2.0,2.0,1185.99,3300.0
bronx,Fordham,2825 Grand Concourse,2.0,1.0,834.86,2000.0
bronx,Norwood,1 East 213rd Street,1.0,1.0,618.34,1400.0
bronx,Mott Haven,101 Bruckner Boulevard,2.0,2.0,1182.71,3200.0
bronx,Throgs Neck,3153 Lafayette Avenue,3.0,1.0,980.0,2700.0
bronx,Riverdale,3660 Waldo Avenue,2.0,1.0,851.22,2500.0
bronx,Bronxwood,2702 Bronx Park East,1.0,1.0,625.7,1625.0
bronx,New_Dev,2401 3rd Avenue,0.5,1.0,579.47,3221.0
bronx,Crotona Park East,1536 Longfellow Avenue,4.0,1.0,1240.08,2350.0
bronx,Castle Hill,2068 Story Avenue,3.0,1.0,1039.92,2250.0
bronx,Kingsbridge,3415 Corlear Avenue,3.0,2.0,1368.15,2850.0
bronx,New_Dev,2401 3rd Avenue,0.5,1.0,453.0,2943.0
bronx,Wakefield,1012 East 223rd Street,3.0,1.5,1215.49,2900.0
bronx,Riverdale,3707 Blackstone Avenue,1.0,1.0,900.0,3500.0
bronx,Fordham,2721 Morris Avenue,1.0,1.0,621.45,1495.0
bronx,West Farms,932 Bronx Park South,0.5,1.0,523.17,1500.0
bronx,Westchester Square,1502 Hone Avenue,0.5,1.0,514.99,1250.0
bronx,Bedford Park,207 East 205th Street,3.0,2.0,1000.0,2850.0
bronx,West Farms,926 Bronx Park South,2.0,1.0,837.97,2095.0
bronx,Riverdale,4475 Henry Hudson Parkway West,2.0,2.0,1158.64,2464.0
bronx,University Heights,2391 Davidson Avenue,3.0,1.0,1039.11,2225.0
bronx,Parkchester,2240 East Tremont Avenue,0.5,1.0,395.0,1350.0
bronx,Spuyten Duyvil,2600 Netherland Avenue,2.0,2.0,1250.0,3375.0
bronx,Riverdale,3660 Waldo Avenue,2.0,1.0,849.58,2450.0
bronx,University Heights,2512 University Avenue,1.0,1.0,623.54,1559.0
bronx,New_Dev,2401 3rd Avenue,0.5,1.0,571.95,2991.0
bronx,University Heights,2512 University Avenue,2.0,1.0,838.13,2100.0
bronx,Country Club,3284 Griswold Avenue,0.5,1.0,529.71,1700.0
bronx,Pelham Bay,2023 Burr Avenue,0.5,1.0,523.14,1499.0
bronx,Riverdale,630 West 246th Street,2.0,1.5,1031.52,3295.0
bronx,Morris Park,1964 Lurting Avenue,2.0,1.0,834.86,2000.0
bronx,Bronxwood,2700 Bronx Park East,1.0,1.0,479.0,1625.0
bronx,Kingsbridge,3045 Godwin Terrace,1.0,1.0,750.0,1850.0
bronx,Pelham Parkway,2102 Holland Avenue,1.0,1.0,629.3,1735.0
bronx,Melrose,421 East 158th Street,1.0,1.0,631.4,1799.0
bronx,New_Dev,228 East 135th Street,2.0,1.0,861.03,2800.0
bronx,New_Dev,276 Grand Concourse,0.5,1.0,544.93,2165.0
bronx,Bronxwood,2550 Olinville Avenue,0.5,1.0,519.87,1399.0
bronx,New_Dev,224 East 135th Street,2.0,1.0,881.71,3432.0
bronx,New_Dev,2401 3rd Avenue,1.0,1.0,675.0,3132.0
bronx,New_Dev,224 East 135th Street,1.0,1.0,654.85,2516.0
bronx,Schuylerville,3189 East Tremont Avenue,1.0,1.0,626.52,1650.0
bronx,New_Dev,224 East 135th Street,1.0,1.0,644.51,2200.0
bronx,New_Dev,224 East 135th Street,2.0,1.0,861.03,2800.0
bronx,University Heights,200 West Kingsbdge Road,1.0,1.0,629.79,1750.0
bronx,Concourse,860 Grand Concourse,1.0,1.0,636.34,1950.0
bronx,Van Nest,1755 Taylor Avenue,3.0,1.0,1045.65,2425.0
bronx,Riverdale,5614 Riverdale Avenue,3.0,1.0,1100.0,2400.0
bronx,Schuylerville,2738 Gifford Avenue,0.5,1.0,550.0,1450.0
bronx,Riverdale,3333 Henry Hudson Parkway,0.5,2.0,943.0,4900.0
bronx,Crotona Park East,1536 Longfellow Avenue,4.0,1.0,1240.08,2350.0
bronx,Fordham,2567 Decatur Avenue,3.0,1.0,1038.29,2200.0
bronx,Fordham,2549 Decatur Avenue,2.0,1.0,829.95,1850.0
bronx,New_Dev,2401 3rd Avenue,1.0,1.0,676.51,3178.0
bronx,Bronxwood,2700 Bronx Park East,1.0,1.0,483.0,1675.0
bronx,Soundview,1064 Ward Avenue,1.0,1.0,623.25,1550.0
bronx,Kingsbridge Heights,114 West 238th Street,1.0,1.0,626.52,1650.0
bronx,New_Dev,276 Grand Concourse,1.0,1.0,664.96,2825.0
bronx,Mott Haven,329 East 132nd Street,2.0,2.0,1174.54,2950.0
bronx,Pelham Gardens,2519 Woodhull Avenue,3.0,1.0,1071.0,3200.0
bronx,Belmont,667 East 187th Street,1.0,1.0,619.98,1450.0
bronx,Concourse,143 East 149th Street,4.0,1.5,1410.74,2850.0
