Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent
brooklyn,Prospect Lefferts Gardens,620 Parkside Avenue,3.0,1.0,1067.73,3100.0
brooklyn,Williamsburg,1 N 4th Place,1.0,1.0,600.0,4597.0
brooklyn,Greenpoint,131 Mc Guinness Boulevard,4.0,2.0,1200.0,3999.0
brooklyn,Bensonhurst,1651 84th Street,2.0,1.0,600.0,1650.0
brooklyn,New_Dev,181 Front Street,2.0,2.0,1290.54,6496.0
brooklyn,East Flatbush,3420 Clarendon Road,1.0,1.0,624.88,1600.0
brooklyn,Crown Heights,1020 President Street,2.0,1.0,862.67,2850.0
brooklyn,Bushwick,176 Suydam Street,2.0,2.0,850.0,2300.0
brooklyn,Canarsie,1289 East 93rd Street,2.0,0.0,529.53,2100.0
brooklyn,Windsor Terrace,467 16th Street,2.0,1.0,800.0,3800.0
brooklyn,East New York,311 Etna Street,1.0,1.0,626.52,1650.0
brooklyn,Stuyvesant Heights,833 Monroe Street,2.0,1.0,861.03,2800.0
brooklyn,Crown Heights,1337 Bergen Street,2.0,1.5,1500.0,3395.0
brooklyn,New_Dev,824 East New York Avenue,1.0,1.0,649.42,2350.0
brooklyn,New_Dev,181 Front Street,2.0,2.0,1290.54,6496.0
brooklyn,Williamsburg,1 N 4th Place,1.0,1.0,600.0,4597.0
brooklyn,Crown Heights,1083 Dean Street,2.0,2.0,1100.0,3200.0
brooklyn,Crown Heights,298 New York Avenue,1.0,1.0,850.0,2400.0
brooklyn,New_Dev,181 Front Street,2.0,2.0,1290.54,6496.0
brooklyn,East Williamsburg,15 Judge Street,1.0,1.0,701.77,3950.0
brooklyn,Park Slope,441 16th Street,1.0,1.0,636.34,1950.0
brooklyn,Park Slope,343 Fourth Avenue,1.0,1.0,762.0,3500.0
brooklyn,Greenwood,145 17th Street,2.0,1.0,851.18,2499.0
brooklyn,Midwood,1608 Ocean Parkway,2.0,1.0,1300.0,2550.0
brooklyn,Bushwick,53 Stanhope Street,3.0,2.0,1700.0,4199.0
brooklyn,Greenpoint,100 Engert Avenue,1.0,1.0,752.0,3750.0
brooklyn,East Williamsburg,245 Skillman Avenue,3.0,2.0,1200.0,4000.0
brooklyn,Canarsie,738 Snediker Avenue,2.0,1.0,834.86,2000.0
brooklyn,Bushwick,286 Stanhope Street,3.0,1.0,1073.36,3272.0
brooklyn,Stuyvesant Heights,427 Pulaski Street,3.0,2.0,1381.24,3250.0
brooklyn,Brownsville,1039 Rutland Road,3.0,1.0,1044.83,2400.0
brooklyn,Williamsburg,65 Scholes Street,3.0,2.0,1500.0,4995.0
brooklyn,New_Dev,181 Front Street,2.0,2.0,1290.54,6496.0
brooklyn,Bushwick,54 Noll Street,1.0,1.0,673.96,3100.0
brooklyn,Brownsville,1039 Rutland Road,3.0,2.0,1356.7,2500.0
brooklyn,Prospect Lefferts Gardens,115 Ocean Avenue,2.0,2.0,1178.3,3065.0
brooklyn,Bushwick,124 Linden Street,2.0,1.0,860.41,2781.0
brooklyn,Midwood,225 Avenue M,3.0,2.0,1300.0,4300.0
brooklyn,Old Mill Basin,2065 East 57th Street,1.0,1.0,621.61,1500.0
brooklyn,Bushwick,618 Bushwick Avenue,2.0,1.0,887.17,3599.0
brooklyn,Fort Greene,475 Clermont Avenue,2.0,2.0,864.0,5778.0
brooklyn,Flatbush,120 Erasmus Street,1.0,1.0,646.97,2275.0
brooklyn,Bushwick,668 Bushwick Avenue,3.0,2.0,1412.35,4201.0
brooklyn,Flatbush,2324 Clarendon Road,3.0,2.0,1374.69,3050.0
brooklyn,Bushwick,32 Starr Street,1.0,2.0,982.56,3100.0
brooklyn,Bedford-Stuyvesant,596 Myrtle Avenue,1.0,1.0,670.65,2999.0
brooklyn,New_Dev,181 Front Street,2.0,2.0,1290.54,6496.0
brooklyn,Midwood,225 Avenue M,3.0,2.0,1300.0,3800.0
brooklyn,Williamsburg,104 South Second Street,2.0,1.0,900.0,4250.0
brooklyn,East Williamsburg,247 Johnson Avenue,1.0,1.0,646.15,2250.0
brooklyn,Williamsburg,225 Maujer Street,1.0,1.0,670.69,3000.0
brooklyn,Flatbush,2733 Snyder Avenue,1.0,1.0,641.24,2100.0
brooklyn,Crown Heights,787 Franklin Avenue,3.0,1.5,1258.02,4200.0
brooklyn,Greenpoint,344 Mc Guinness Boulevard,3.0,1.5,1251.15,3990.0
brooklyn,Ocean Hill,16 Gunther Place,3.0,1.0,1064.46,3000.0
brooklyn,Bay Ridge,354 Bayridge Parkway,1.0,1.0,634.54,1895.0
brooklyn,Downtown Brooklyn,257 Gold Street,0.5,1.0,572.08,2995.0
brooklyn,Bushwick,115 Stanwix Street,2.0,1.0,893.74,3800.0
brooklyn,Williamsburg,358 Broadway,1.0,1.0,660.84,2699.0
brooklyn,Bushwick,238 Stockholm Street,3.0,1.5,1222.03,3100.0
brooklyn,New_Dev,181 Front Street,2.0,2.0,1290.54,6496.0
brooklyn,Ocean Hill,739 Decatur Street,4.0,2.0,1207.0,3950.0
brooklyn,Borough Park,4109 Ninth Avenue,1.0,1.0,750.0,1650.0
brooklyn,Ocean Hill,16 Gunther Place,3.0,1.0,1059.55,2850.0
brooklyn,Brooklyn Heights,12 Pineapple Street,2.0,1.0,878.21,3325.0
brooklyn,Stuyvesant Heights,182 Bainbridge Street,1.0,1.0,664.14,2800.0
