Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent
manhattan,Chelsea,130 W 15th Street,2.0,2.0,1377.37,9150.0
manhattan,Murray Hill,401 East 34th Street,2.0,2.0,1085.0,6276.0
manhattan,Washington Heights,432 West 163rd Street,2.0,1.0,855.99,2646.0
manhattan,South Harlem,207 West 121st Street,0.5,1.0,537.89,1950.0
manhattan,New_Dev,420 E 54th Street,1.0,2.0,851.0,5869.0
manhattan,Upper West Side,255 W 94th Street,1.0,1.0,714.85,4350.0
manhattan,Upper West Side,255 W 94th Street,1.0,1.0,713.05,4295.0
manhattan,Upper West Side,255 W 94th Street,0.5,1.0,600.05,3850.0
manhattan,Upper West Side,255 W 94th Street,1.0,1.0,706.51,4095.0
manhattan,Upper West Side,255 W 94th Street,3.0,2.0,1618.42,10500.0
manhattan,Financial District,120 Greenwich Street,1.0,1.0,568.0,3850.0
manhattan,Upper West Side,212 West 91st Street,0.5,1.0,568.97,2900.0
manhattan,Washington Heights,838 Riverside Drive,3.0,1.0,1090.63,3800.0
manhattan,Battery Park City,377 Rector Place,1.0,1.0,621.0,4000.0
manhattan,West Chelsea,312 11th Avenue,0.5,1.0,535.0,3550.0
manhattan,Kips Bay,240 East 27th Street,1.0,1.0,941.0,4840.0
manhattan,Midtown,260 West 52nd Street,1.0,1.0,616.0,4135.0
manhattan,West Village,53 Leroy Street,1.0,2.0,1093.62,6495.0
manhattan,New_Dev,645 West 59th Street,3.0,3.5,2026.0,31000.0
manhattan,Inwood,65 Post Avenue,1.0,1.0,633.06,1850.0
manhattan,Little Italy,160 Mott Street,1.0,1.0,380.0,2100.0
manhattan,Lenox Hill,1411 York Avenue,0.5,1.0,554.25,2450.0
manhattan,Lenox Hill,1411 York Avenue,0.5,1.0,562.43,2700.0
manhattan,Lenox Hill,1409 York Avenue,0.5,1.0,554.25,2450.0
manhattan,Carnegie Hill,173 East 87th Street,2.0,1.0,600.0,1800.0
manhattan,Lenox Hill,1409 York Avenue,1.0,1.0,659.24,2650.0
manhattan,Lenox Hill,795 Lexington Avenue,1.0,1.0,500.0,2395.0
manhattan,Hamilton Heights,139 Edgecombe Avenue,3.0,1.0,1000.0,2945.0
manhattan,Midtown South,160 Madison Avenue,2.0,2.0,1313.57,7200.0
manhattan,Murray Hill,41 Park Avenue,1.0,1.0,700.0,8050.0
manhattan,Lower East Side,353 Grand Street,2.0,1.0,892.11,3750.0
manhattan,East Harlem,1646 Madison Avenue,2.0,1.0,833.22,1950.0
manhattan,Lincoln Square,101 West End Avenue,1.0,1.0,515.0,4625.0
manhattan,East Harlem,182 East 111st Street,3.0,2.0,1000.0,3180.0
