Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent
queens,Jamaica,153-30 89th Avenue,2.0,2.0,1040.0,3000.0
queens,Corona,97-11 Horace Harding Expressway,1.0,1.0,713.0,2003.0
queens,Elmhurst,85-14 57 Road,1.0,1.0,637.81,1995.0
queens,Astoria,32-57 46th Street,3.0,2.0,1200.0,3500.0
queens,Long Island City,29-59 Northern Boulevard,0.5,1.0,578.26,3184.0
queens,Rego Park,98-50 63 Drive,0.5,1.0,526.44,1600.0
queens,Woodside,33-16 61st Street,2.0,1.0,843.04,2250.0
queens,Briarwood,147-94 Grand Cent Parkway,1.0,1.0,850.0,1900.0
queens,Hunters Point,42-20 27th Street,2.0,2.0,1241.93,5010.0
queens,Rego Park,61-55 Junction Boulevard,1.0,1.0,685.0,2875.0
queens,Forest Hills,68-35 Juno Street,3.0,2.0,1394.32,3650.0
queens,Astoria,28-05 43rd Street,1.0,1.0,650.0,1800.0
queens,Hunters Point,1-50 50th Avenue,3.0,2.0,1141.0,4739.0
queens,Briarwood,139-31 85 Drive,0.5,1.0,400.0,1450.0
queens,Woodside,43-27A 54th Street,3.0,2.0,1000.0,2900.0
queens,Forest Hills,"6120 Grand Central Parkway,",1.0,1.0,875.0,1850.0
queens,Hunters Point,1-50 50th Avenue,2.0,2.0,989.0,4020.0
queens,Astoria,31-52 45th Street,3.0,1.0,1000.0,2700.0
queens,Long Island City,29-59 Northern Boulevard,3.0,2.0,1487.27,6491.0
queens,Sunnyside,44-15 43rd Avenue,1.0,1.0,750.0,2000.0
queens,Ridgewood,68-07 Forest Avenue,4.0,1.5,1425.46,3300.0
queens,New_Dev,28-40 Jackson Avenue,2.0,2.0,1248.73,5218.0
queens,Astoria,30-19 49th Street,2.0,1.0,1000.0,2400.0
queens,Jamaica Estates,87-01 Midland Parkway,0.5,1.0,600.0,1500.0
queens,Briarwood,84-06 143rd Street,1.0,1.0,748.0,1895.0
queens,Sunnyside,52-22 35th Street,1.0,1.0,624.88,1600.0
queens,Glendale,78-56 76th Street,2.0,1.0,844.67,2300.0
queens,Kew Gardens,125-16 83 Drive,0.5,1.0,600.0,1575.0
queens,Ditmars-Steinway,21-38 46th Street,3.0,1.0,1097.17,4000.0
queens,Astoria,10 Halletts Point,2.0,2.5,1441.54,6395.0
queens,Jackson Heights,74-15 35th Avenue,2.0,1.0,775.0,2350.0
queens,Jamaica Estates,87-03 Kingston Place,3.0,2.0,1356.7,2500.0
queens,Long Island City,29-59 Northern Boulevard,2.0,1.0,963.13,5921.0
queens,New_Dev,30-92 29th Street,2.0,1.0,883.93,3500.0
queens,Flushing,140-21 32nd Avenue,1.0,1.0,700.0,2200.0
queens,Sunnyside,41-25 44th Street,1.0,1.0,634.7,1900.0
queens,Astoria,30-71 33rd Street,1.0,1.0,634.54,1895.0
queens,Astoria,35-21 Crescent Street,3.0,1.0,1080.82,3500.0
queens,Murray Hill (Queens),163-04 Crocheron Avenue,1.0,1.0,780.0,1975.0
queens,Long Island City,29-17 40th Avenue,0.5,1.0,572.24,3000.0
queens,Ridgewood,1880 Gates Avenue,4.0,1.5,1428.7,3399.0
queens,Briarwood,82-50 135th Street,1.0,1.0,750.0,1785.0
queens,Long Island City,29-59 Northern Boulevard,1.0,1.0,743.31,5220.0
queens,New_Dev,44-28 Purves Street,2.0,2.0,1262.73,5646.0
queens,Kew Gardens,118-71 80 Road,1.0,600.0,185476.87,1650.0
queens,Jackson Heights,74-15 35th Avenue,1.0,1.0,690.0,2150.0
queens,Long Island City,29-59 Northern Boulevard,3.0,2.0,1487.27,6491.0
queens,Maspeth,69-79 Caldwell Avenue,0.5,1.0,526.44,1600.0
queens,Woodside,32-57 60th Street,3.0,1.0,1100.0,2400.0
queens,Astoria,26-07 18th Street,1.0,1.0,637.97,2000.0
queens,Maspeth,60-15 Fresh Pond Road,1.0,1.0,635.52,1925.0
queens,Ditmars-Steinway,45-02 Ditmars Boulevard,1.0,1.0,750.0,2300.0
queens,Flushing,42-11 Parsons Boulevard,1.0,1.0,750.0,1875.0
queens,Kew Gardens Hills,70-13 Park Drive East,1.0,1.0,631.43,1800.0
queens,Jackson Heights,33-34 77th Street,2.0,1.0,1100.0,2300.0
queens,Murray Hill (Queens),149-31 35th Avenue,2.0,2.0,900.0,2300.0
queens,Corona,97-05 Horace Harding Expressway,2.0,1.0,1060.0,2600.0
queens,Corona,96-04 57th Avenue,1.0,1.0,808.0,1968.0
queens,Astoria,31-16 28 Road,1.0,1.0,750.0,2100.0
queens,Ditmars-Steinway,22-37 73rd Street,2.0,2.0,1169.63,2800.0
queens,New_Dev,28-40 Jackson Avenue,2.0,2.0,1248.73,5218.0
queens,East Flushing,170-20 Lithonia Avenue,1.0,1.0,646.15,2250.0
queens,Kew Gardens,83-15 Lefferts Boulevard,2.0,1.0,900.0,2575.0
queens,Astoria,12-23 30 Road,2.0,1.0,843.04,2250.0
queens,Astoria,31-79 34th Street,3.0,1.0,900.0,3200.0
queens,Astoria,25-24 Broadway,1.0,1.0,644.51,2200.0
queens,Murray Hill (Queens),144-15 41st Avenue,0.5,1.0,550.0,1650.0
queens,Ditmars-Steinway,21-68 35th Street,1.0,1.0,630.61,1775.0
queens,Glendale,71-40 68th Street,3.0,1.0,1044.83,2400.0
queens,East Elmhurst,22-24 92nd Street,1.0,2.0,949.84,2100.0
queens,Hunters Point,45-50 Pearson Street,0.5,1.0,562.43,2700.0
queens,Long Island City,29-22 Northern Boulevard,2.0,2.0,1168.0,5175.0
queens,Flushing,143-29 Barclay Avenue,0.5,1.0,500.0,1500.0
queens,Flushing,143-09 Barclay Avenue,1.0,1.0,700.0,1800.0
queens,Long Island City,29-59 Northern Boulevard,2.0,2.0,1286.22,6364.0
queens,Astoria,21-22 Newtown Avenue,3.0,1.0,1044.67,2395.0
queens,Long Island City,41-15 23rd Street,1.0,1.0,681.65,3335.0
queens,Ozone Park,90-19 107th Avenue,2.0,2.0,1172.9,2900.0
queens,Astoria,27-15 Astoria Boulevard,1.0,1.0,640.0,3000.0
queens,New_Dev,27-19 44th Dr,0.5,1.0,443.0,2975.0
queens,Forest Hills,110-56 71st Avenue,0.5,1.0,550.0,1600.0
queens,Rego Park,64-21 Booth Street,2.0,1.0,1000.0,2250.0
queens,Kew Gardens,83-46 118th Street,0.5,1.0,520.72,1425.0
queens,Kew Gardens,83-46 118th Street,2.0,1.0,845.49,2325.0
queens,Astoria,34-46 Vernon Boulevard,2.0,2.0,1224.2,4468.0
queens,Long Island City,29-22 Northern Boulevard,2.0,2.0,1168.0,5175.0
queens,Astoria,34-20 30th Street,0.5,1.0,524.81,1550.0
queens,Astoria,30-70 48th Street,1.0,1.0,665.0,1995.0
queens,Long Island City,29-59 Northern Boulevard,2.0,2.0,1286.22,6364.0
queens,Long Island City,29-17 40th Avenue,1.0,1.0,687.04,3500.0
queens,Long Island City,38-12 31st Street,2.0,1.0,900.0,2750.0
queens,Kew Gardens Hills,69-94 136th Street,1.0,1.0,700.0,1800.0
queens,New_Dev,5203 Center Boulevard,2.0,2.0,1277.26,6090.0
queens,New_Dev,5203 Center Boulevard,2.0,1.0,931.37,4950.0
queens,New_Dev,5203 Center Boulevard,2.0,2.0,1269.41,5850.0
queens,New_Dev,5203 Center Boulevard,2.0,2.0,1256.65,5460.0
queens,New_Dev,5203 Center Boulevard,2.0,2.0,1274.32,6000.0
queens,Hunters Point,4545 Center Boulevard,2.0,2.0,1240.13,4955.0
queens,Corona,96-02 57th Avenue,1.0,1.0,713.0,1976.0
queens,Forest Hills,67-30 Clyde Street,1.0,1.0,816.0,2500.0
queens,Hunters Point,4615 Center Boulevard,1.0,1.0,695.55,3760.0
queens,Ridgewood,68-07 Forest Avenue,4.0,1.5,1425.46,3300.0
queens,New_Dev,28-40 Jackson Avenue,0.5,1.0,585.33,3400.0
queens,Astoria,21-02 29th Avenue,1.0,1.0,689.0,2650.0
queens,Woodhaven,90-10 Jamaica Avenue,0.5,1.0,536.09,1895.0
queens,Flushing,45-03 162nd Street,3.0,1.0,1050.0,2300.0
queens,Kew Gardens,84-47 Lefferts Boulevard,1.0,1.0,636.34,1950.0
queens,Ditmars-Steinway,24-44 27th Street,2.0,1.0,844.67,2300.0
queens,Ridgewood,1923 Cornelia Street,1.0,1.0,644.51,2200.0
queens,Ridgewood,60-01 70th Avenue,2.0,1.0,800.0,2300.0
queens,Ditmars-Steinway,23-26 33rd Street,3.0,2.0,1450.0,3600.0
queens,Astoria,10 Halletts Point,1.0,1.0,675.59,3150.0
queens,Ditmars-Steinway,21-15 21 Road,2.0,1.0,833.22,1950.0
queens,Corona,97-11 Horace Harding Expressway,1.0,1.0,713.0,2003.0
queens,Astoria,25-55 33rd Street,2.0,1.0,800.0,2000.0
queens,Ditmars-Steinway,21-14 21st Avenue,1.0,1.0,600.0,1550.0
queens,New_Dev,28-40 Jackson Avenue,0.5,1.0,585.33,3400.0
queens,Astoria,32-06 29th Street,2.0,1.0,854.49,2600.0
queens,Astoria,31-27 37th Street,2.0,1.0,887.2,3600.0
queens,Sunnyside,47-28 40th Street,2.0,1.0,844.67,2300.0
queens,Forest Hills,110-11 72nd Avenue,1.0,1.0,950.0,2200.0
queens,Forest Hills,65-15 Yellowstone Boulevard,1.0,1.0,631.43,1800.0
queens,Sunnyside,41-33 49th Street,2.0,1.0,849.58,2450.0
queens,Bayside,36-24 216th Street,0.5,1.0,529.71,1700.0
queens,Forest Hills,65-15 Yellowstone Boulevard,1.0,1.0,629.79,1750.0
queens,Whitestone,154-55 20 Road,2.0,1.0,900.0,2200.0
queens,Jamaica,153-30 89th Avenue,2.0,2.0,933.0,2825.0
queens,Jamaica,147-40 Archer Avenue,1.0,1.0,652.43,2442.0
queens,Forest Hills,67-54 Burns Street,3.0,1.5,1250.0,3400.0
queens,Astoria,10 Halletts Point,2.0,2.0,1208.72,3995.0
queens,Long Island City,29-59 Northern Boulevard,1.0,1.0,743.31,5220.0
queens,Sunnyside,47-40 41st Street,1.0,1.0,633.06,1850.0
queens,Forest Hills,105-28 65th Avenue,0.5,1.0,521.53,1450.0
queens,Ditmars-Steinway,22-39 73rd Street,1.0,1.0,628.16,1700.0
queens,Astoria,43-12 30th Avenue,3.0,1.5,1235.12,3500.0
queens,Astoria,14-19 Astoria Boulevard,1.0,1.0,675.0,2000.0
queens,Hunters Point,22-44 Jackson Avenue,0.5,1.0,572.41,3005.0
queens,Astoria,14-15 33 Road,2.0,1.0,844.67,2300.0
queens,Ridgewood,55-27 Myrtle Avenue,2.0,1.0,888.84,3650.0
queens,Hunters Point,22-44 Jackson Avenue,1.0,1.0,745.93,5300.0
queens,Astoria,31-19 37th Street,2.0,1.0,887.2,3600.0
queens,New_Dev,30-02 39th Avenue,0.5,1.0,578.82,3201.0
queens,Ditmars-Steinway,20-72 Steinway Street,1.0,1.0,650.0,1850.0
queens,Astoria,31-19 37th Street,2.0,1.0,887.2,3600.0
queens,New_Dev,28-10 Jackson Avenue,2.0,2.0,1261.88,5620.0
queens,Auburndale,47-41 194th Street,2.0,1.0,900.0,2500.0
queens,Long Island City,38-35 Crescent Street,2.0,1.0,886.38,3575.0
queens,Hunters Point,22-44 Jackson Avenue,1.0,1.0,703.4,4000.0
queens,Hunters Point,22-44 Jackson Avenue,1.0,1.0,703.4,4000.0
queens,Jamaica,152-09 88th Avenue,3.0,2.0,1410.39,4141.0
queens,Hunters Point,22-44 Jackson Avenue,1.0,1.0,706.67,4100.0
queens,Astoria,25-80 37th Street,2.0,1.5,1015.33,2800.0
queens,Ditmars-Steinway,22-28 42nd Street,1.0,1.0,654.33,2500.0
queens,Jamaica,153-30 89th Avenue,2.0,2.0,1040.0,3000.0
queens,New_Dev,27-19 44th Dr,0.5,1.0,443.0,2975.0
queens,New_Dev,5203 Center Boulevard,2.0,2.0,1256.65,5460.0
queens,Ditmars-Steinway,23-46 26th Street,2.0,1.0,864.3,2900.0
queens,New_Dev,44-28 Purves Street,1.0,1.0,703.24,3995.0
queens,Long Island City,29-59 Northern Boulevard,3.0,2.0,1487.27,6491.0
queens,New_Dev,44-28 Purves Street,1.0,1.0,709.26,4179.0
queens,Ditmars-Steinway,21-01 23rd Avenue,2.0,2.0,1156.54,2400.0
queens,Astoria,25-40 Shore Boulevard,1.0,1.0,623.0,2500.0
queens,Jamaica,153-30 89th Avenue,1.0,1.0,698.0,2077.0
queens,Jamaica,153-30 89th Avenue,0.5,1.0,528.0,1825.0
queens,Elmhurst,94-25 46th Avenue,4.0,1.5,950.0,2700.0
queens,Ditmars-Steinway,20-27 36th Street,3.0,1.0,1000.0,3399.0
queens,Ditmars-Steinway,22-03 35th Street,3.0,1.0,1200.0,3500.0
queens,Forest Hills,107-40 Queens Boulevard,0.5,1.0,580.0,2100.0
queens,Jamaica,147-40 Archer Avenue,1.0,1.0,647.62,2295.0
queens,Woodside,43-27A 54th Street,3.0,2.0,1000.0,2900.0
queens,Oakland Gardens,61-07 224th Street,3.0,1.0,900.0,3575.0
queens,Ridgewood,55-27 Myrtle Avenue,1.0,1.0,666.6,2875.0
queens,New_Dev,28-40 Jackson Avenue,0.5,1.0,585.33,3400.0
queens,Astoria,9-04 33 Road,0.5,1.0,500.0,2000.0
queens,Rockaway Park,160 Beach 117th Street,0.5,1.0,515.81,1275.0
queens,Belle Harbor,511 Beach 134th Street,2.0,1.5,1021.87,3000.0
queens,Kew Gardens,83-60 118th Street,1.0,1.0,641.24,2100.0
queens,Flushing,139-20 34th Avenue,2.0,2.0,800.0,2500.0
queens,Maspeth,64-06 48th Avenue,1.0,1.0,629.79,1750.0
queens,Astoria,25-43 46th Street,1.0,1.0,626.52,1650.0
queens,Forest Hills,76-26 113rd Street,0.5,1.0,480.0,1550.0
queens,Ditmars-Steinway,19-23 Ditmars Boulevard,2.0,1.0,851.22,2500.0
queens,New_Dev,26-38 21st Street,2.0,1.5,1066.04,4350.0
queens,Ridgewood,605 Onderdonk Avenue,3.0,1.5,1205.51,2595.0
queens,East Flushing,140-70 Ash Avenue,1.0,1.0,650.0,1575.0
queens,Oakland Gardens,220-39 67th Avenue,2.0,1.0,850.0,2450.0
queens,New_Dev,28-40 Jackson Avenue,0.5,1.0,585.33,3400.0
queens,Rockaway Park,160 Beach 117th Street,1.0,1.0,621.61,1500.0
queens,Oakland Gardens,221-02 67th Avenue,2.0,1.0,800.0,2375.0
queens,Woodside,41-32 53rd Street,0.5,1.0,531.35,1750.0
queens,Ridgewood,16-18 Jefferson Avenue,2.0,1.0,849.58,2450.0
queens,Astoria,35-54 32nd Street,3.0,2.0,1405.77,4000.0
queens,Astoria,32-30 45th Street,2.0,1.0,800.0,2000.0
queens,Kew Gardens,83-10 Lefferts Boulevard,2.0,1.0,1200.0,2600.0
queens,Oakland Gardens,224-17 64th Avenue,1.0,1.0,725.0,1895.0
queens,Astoria,44-14 Broadway,1.0,1.0,750.0,2500.0
queens,Ditmars-Steinway,21-38 46th Street,3.0,1.0,1097.17,4000.0
queens,Astoria,31-19 37th Street,2.0,1.0,887.2,3600.0
queens,Astoria,30-43 48th Street,1.0,1.0,700.0,2000.0
queens,Astoria,25-69 46th Street,2.0,1.0,857.76,2700.0
queens,Long Island City,29-59 Northern Boulevard,0.5,1.0,577.44,3159.0
queens,Forest Hills,72-81 113th Street,1.0,1.0,850.0,2150.0
queens,Ditmars-Steinway,21-69 19th Street,3.0,1.0,1071.0,3200.0
queens,Forest Hills,72-81 113th Street,1.0,1.0,800.0,2150.0
queens,Ridgewood,64-27 Palmetto Street,3.0,1.5,1192.59,2200.0
queens,Oakland Gardens,220-39 67th Avenue,2.0,1.0,847.94,2400.0
queens,Kew Gardens,118-75 Metropolitan Avenue,0.5,1.0,550.0,1750.0
queens,Forest Hills,65-39 108th Street,2.0,1.0,900.0,1900.0
queens,Oakland Gardens,67-02 Springfield Boulevard,1.0,1.0,700.0,1895.0
queens,Forest Hills,103-19 68 Road,2.0,1.0,847.94,2400.0
queens,New_Dev,5203 Center Boulevard,2.0,2.0,1264.5,5700.0
queens,Hunters Point,23-10 Queens Plaza South,1.0,1.0,729.41,4795.0
queens,Ridgewood,1675 Madison Street,1.0,1.0,666.6,2875.0
queens,Ditmars-Steinway,20-52 45th Street,3.0,1.5,1000.0,3000.0
queens,Long Island City,29-59 Northern Boulevard,3.0,2.0,1487.27,6491.0
queens,Ditmars-Steinway,42-13 23rd Avenue,1.0,1.0,633.06,1850.0
queens,Jackson Heights,84-09 35th Avenue,0.5,1.0,532.98,1800.0
queens,Sunnyside,48-30 40th Street,3.0,2.0,923.0,3750.0
queens,Kew Gardens,123-60 83rd Avenue,1.0,1.0,793.0,2050.0
queens,Flushing,137-20 45th Avenue,2.0,1.5,1138.0,2550.0
queens,Flushing,42-13 163rd Street,3.0,2.0,1150.0,2680.0
queens,Hunters Point,2-26 50th Avenue,1.0,1.0,700.0,3975.0
queens,Briarwood,81-10 135th Street,1.0,1.0,900.0,2000.0
queens,Flushing,42-13 163rd Street,1.0,1.0,680.0,1980.0
queens,Rego Park,99-32 66th Rd,0.5,1.0,523.17,1500.0
queens,Jamaica,153-30 89th Avenue,0.5,1.0,584.0,1899.0
queens,Astoria,23-40 Broadway,2.0,1.0,950.0,3500.0
queens,Sunnyside,50-01 39th Avenue,2.0,1.0,854.49,2600.0
queens,Long Island City,29-59 Northern Boulevard,0.5,1.0,577.44,3159.0
queens,Jackson Heights,35-42 94th Street,1.0,1.0,638.79,2025.0
queens,Flushing,133-27 39th Avenue,2.0,2.0,1000.0,3600.0
queens,Jackson Heights,32-30 93rd Street,1.0,1.0,700.0,1775.0
queens,Astoria,18-05 27th Avenue,1.0,1.5,811.9,2600.0
queens,Astoria,31-69 38th Street,1.0,1.0,644.51,2200.0
queens,South Jamaica,119-44 Long Street,3.0,1.0,1057.92,2800.0
queens,East Flushing,43-11 172nd Street,4.0,3.0,1800.0,3600.0
queens,Ridgewood,60-01 70th Avenue,2.0,1.0,851.05,2495.0
queens,Kew Gardens Hills,61-34 138th Street,4.0,2.0,1566.67,2900.0
queens,Ditmars-Steinway,21-15 21 Road,2.0,1.0,833.22,1950.0
queens,Long Island City,29-22 Northern Boulevard,1.0,1.0,731.0,3857.0
