Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent
bronx,Hunts Point,657 Manida Street,3.0,2.0,1532.5,2850.0
bronx,Spuyten Duyvil,2600 Netherland Avenue,1.0,1.5,880.0,2545.0
bronx,Spuyten Duyvil,3128 Henry Hudson Parkway East,2.0,2.0,1331.0,3200.0
bronx,Spuyten Duyvil,511 West 235th Street,1.0,1.0,1015.0,2000.0
bronx,Mott Haven,2401 3rd Avenue,0.5,1.0,629.5,3001.0
bronx,North New York,534 Jackson Avenue,2.0,1.0,931.5,2300.0
bronx,Tremont,219 Echo Place,0.5,1.0,629.5,1475.0
bronx,Woodlawn,4282 Katonah Avenue,2.0,1.0,931.5,2000.0
bronx,Morrisania,1117 Forest Avenue,2.0,1.5,690.0,1800.0
bronx,Fordham,2330 Valentine Avenue,1.0,1.0,730.25,1675.0
bronx,Soundview,1211 Wheeler Avenue,3.0,1.0,1133.0,2100.0
bronx,Riverdale,3824 Waldo Avenue,2.0,1.0,931.5,2150.0
bronx,Concourse,1500 Grand Concourse,0.5,1.0,629.5,1400.0
bronx,University Heights,2471 Grand Avenue,2.0,1.0,931.5,2000.0
bronx,Riverdale,3210 Riverdale Avenue,1.0,1.0,794.0,2300.0
bronx,Spuyten Duyvil,530 West 236th Street,3.0,2.0,1532.5,3195.0
bronx,Morris Heights,2004 Davidson Avenue,2.0,1.0,931.5,2150.0
bronx,Fordham,2592 Creston Avenue,3.0,1.0,1133.0,2300.0
bronx,Mott Haven,2401 3rd Avenue,2.0,2.0,1331.0,4744.0
bronx,Bedford Park,2980 Briggs Avenue,2.0,1.5,1131.25,1950.0
bronx,Spuyten Duyvil,735 Kappock Street,1.0,1.0,730.25,2000.0
bronx,Pelham Parkway,2198 Cruger Avenue,2.0,1.0,931.5,2125.0
bronx,Norwood,3230 Steuben Avenue,1.0,1.0,730.25,1700.0
bronx,Crotona Park East,1409 Bryant Avenue,2.0,1.5,1131.25,2550.0
bronx,Spuyten Duyvil,500 West 235th Street,2.0,1.0,931.5,2400.0
bronx,Concourse,975 Sherman Avenue,3.0,1.0,1133.0,2500.0
bronx,Concourse,975 Sherman Avenue,1.0,1.0,730.25,1550.0
bronx,Riverdale,6555 Broadway,1.0,1.0,730.25,1750.0
bronx,Hunts Point,657 Manida Street,3.0,2.0,1532.5,2850.0
bronx,Mott Haven,2401 3rd Avenue,0.5,1.0,629.5,3001.0
bronx,Spuyten Duyvil,3615 Oxford Avenue,0.5,1.0,629.5,2126.0
bronx,Riverdale,630 West 246th Street,1.0,1.0,730.25,2195.0
bronx,Mott Haven,2401 3rd Avenue,0.5,1.0,629.5,2895.0
bronx,Kingsbridge,4578 Manhattan College Parkway,1.0,1.0,800.0,1650.0
bronx,Pelham Parkway,2160 Bronx Park East,1.0,1.0,1000.0,1900.0
bronx,Crotona Park East,1821 Trafalgar Place,2.0,1.0,931.5,1899.0
bronx,Parkchester,2013 Benedict Avenue,2.0,1.0,800.0,1850.0
bronx,Wakefield,759 East 235th Street,3.0,2.0,1532.5,2500.0
bronx,Mott Haven,101 Bruckner Boulevard,2.0,2.0,1331.0,3100.0
bronx,Mott Haven,101 Bruckner Boulevard,2.0,2.0,1331.0,3300.0
bronx,Edenwald,13 Harper Court,3.0,2.0,1532.5,2500.0
bronx,Concourse,1254 Sherman Avenue,3.0,1.0,1133.0,2350.0
bronx,Mott Haven,2401 3rd Avenue,3.0,2.0,1532.5,6134.0
bronx,Mott Haven,224 East 135th Street,2.0,1.0,931.5,3388.0
bronx,Concourse,1254 Sherman Avenue,0.5,1.0,629.5,1600.0
bronx,Tremont,2080 Grand Concourse,0.5,1.0,629.5,1600.0
bronx,Mott Haven,2401 3rd Avenue,1.0,1.0,730.25,3083.0
bronx,Tremont,2090 Grand Concourse,1.0,1.0,730.25,1650.0
bronx,Fordham,2765 Briggs Avenue,1.0,1.0,800.0,1375.0
bronx,Concourse,1200 College Avenue,0.5,1.0,629.5,1325.0
bronx,North New York,420 East 148th Street,2.0,1.0,914.0,1995.0
bronx,Bedford Park,3175 Grand Concourse,0.5,1.0,402.0,1295.0
bronx,University Heights,2265 University Avenue,2.0,1.0,931.5,2250.0
bronx,University Heights,2265 University Avenue,1.0,1.0,730.25,1799.0
bronx,Concourse,1520 Sheridan Avenue,2.0,1.0,931.5,1995.0
bronx,Bronxwood,655 Pelham Parkway North,1.0,1.0,730.25,1650.0
bronx,Hunts Point,657 Manida Street,1.0,1.0,730.25,1955.0
bronx,Mott Haven,2401 3rd Avenue,0.5,1.0,629.5,3001.0
bronx,Concourse,1555 Grand Concourse,1.0,1.0,730.25,1650.0
bronx,Kingsbridge,3025 Godwin Terrace,1.0,1.0,730.25,1600.0
bronx,Mott Haven,2401 3rd Avenue,1.0,1.0,730.25,3453.0
bronx,Riverdale,6629 Broadway,1.0,1.0,730.25,1800.0
bronx,Riverdale,452 West 261st Street,3.0,2.0,1532.5,3000.0
bronx,Kingsbridge,3616 Corlear Avenue,2.0,1.0,900.0,2400.0
bronx,Schuylerville,1534 Hollywood Avenue,3.0,1.0,1300.0,2695.0
bronx,Concourse,1348 Sheridan Avenue,1.0,1.0,730.25,1575.0
bronx,East Tremont,2004 Crotona Avenue,2.0,1.0,931.5,2200.0
bronx,East Tremont,2004 Crotona Avenue,3.0,2.0,1532.5,2550.0
bronx,Mott Haven,25 Bruckner Boulevard,2.0,1.0,931.5,2850.0
bronx,Melrose,726 Courtlandt Avenue,2.0,1.0,931.5,1995.0
bronx,Mott Haven,228 East 135th Street,2.0,2.0,1331.0,3429.0
bronx,Riverdale,3210 Riverdale Avenue,1.0,1.0,794.0,2300.0
bronx,Norwood,51 West Mosholu Parkway North,3.0,1.0,1133.0,2307.0
bronx,Highbridge,1344 University Avenue,1.0,1.0,730.25,1650.0
bronx,Mott Haven,2401 3rd Avenue,2.0,2.0,1331.0,4611.0
bronx,Pelham Parkway,2198 Cruger Avenue,2.0,1.0,931.5,2150.0
bronx,Kingsbridge Heights,147 West 230th Street,1.0,1.0,730.25,1700.0
bronx,Bedford Park,225 East 202nd Street,1.0,1.0,730.25,2394.0
bronx,Fordham,2721 Morris Avenue,2.0,1.0,931.5,2200.0
bronx,Crotona Park East,1821 Trafalgar Place,3.0,2.0,1532.5,2999.0
bronx,Riverdale,3333 Henry Hudson Parkway,1.0,1.0,885.0,2650.0
bronx,Riverdale,3333 Henry Hudson Parkway,1.0,1.0,648.0,2195.0
bronx,Kingsbridge Heights,3000 Bailey Avenue,1.0,1.0,730.25,1700.0
bronx,Kingsbridge,3120 Corlear Avenue,2.0,1.0,931.5,2175.0
bronx,Mott Haven,224 East 135th Street,1.0,1.0,730.25,2160.0
bronx,Mott Haven,228 East 135th Street,2.0,1.0,931.5,2560.0
bronx,Bedford Park,185 East 206th Street,1.0,1.0,730.25,1475.0
bronx,Pelham Parkway,762 Brady Avenue,3.0,2.0,1532.5,1975.0
bronx,Mott Haven,2401 3rd Avenue,1.0,1.0,730.25,3083.0
bronx,Bronxwood,2215 Cruger Avenue,1.0,1.0,730.25,1600.0
bronx,Spuyten Duyvil,3128 Henry Hudson Parkway East,1.0,1.0,730.25,2195.0
bronx,Hunts Point,657 Manida Street,3.0,2.0,1532.5,2850.0
bronx,Hunts Point,657 Manida Street,1.0,1.0,730.25,1955.0
bronx,University Heights,2721 Heath Avenue,2.0,1.0,931.5,2100.0
bronx,North New York,596 Beech Terrace,3.0,1.5,1332.75,3100.0
bronx,Mott Haven,101 Bruckner Boulevard,2.0,2.0,1331.0,3250.0
bronx,Mott Haven,101 Bruckner Boulevard,1.0,1.0,730.25,2300.0
bronx,Woodstock,643 Southern Boulevard,3.0,1.0,1200.0,2000.0
bronx,Mott Haven,224 East 135th Street,1.0,1.0,730.25,2160.0
bronx,Mt. Hope,1770 Grand Concourse,1.0,1.0,717.0,1999.0
bronx,Spuyten Duyvil,530 West 236th Street,2.0,1.0,1250.0,2800.0
bronx,Crotona Park East,1390 Prospect Avenue,2.0,1.0,931.5,2100.0
bronx,Mott Haven,2401 3rd Avenue,3.0,2.0,1532.5,6134.0
bronx,Riverdale,5900 Arlington Avenue,1.0,1.0,700.0,2100.0
bronx,Country Club,1665 Bay Shore Avenue,2.0,1.0,800.0,2200.0
bronx,Bronxwood,660 Thwaites Place,1.0,1.0,730.25,1600.0
bronx,Concourse,930 Sheridan Avenue,0.5,1.0,542.0,1499.0
bronx,Concourse,930 Sheridan Avenue,1.0,1.0,669.0,1899.0
bronx,Bedford Park,271 East 198th Street,3.0,1.0,2000.0,2500.0
bronx,Williamsbridge,3804 Bronx Boulevard,3.0,2.0,1532.5,2499.0
bronx,Kingsbridge Heights,3451 Giles Avenue,1.0,1.0,730.25,1650.0
bronx,Mt. Hope,1775 Clay Avenue,0.5,1.0,629.5,1450.0
bronx,Hunts Point,657 Manida Street,3.0,2.0,1532.5,2850.0
bronx,Riverdale,3210 Riverdale Avenue,1.0,1.0,794.0,2300.0
bronx,Fordham,2835 Bainbridge Avenue,1.0,1.0,730.25,1500.0
bronx,Spuyten Duyvil,3300 Netherland Avenue,2.0,2.0,1100.0,2650.0
bronx,Mott Haven,228 East 135th Street,0.5,1.0,629.5,1850.0
bronx,Mott Haven,101 Bruckner Boulevard,1.0,1.0,730.25,2300.0
bronx,Bronxwood,2713 Holland Avenue,3.0,1.0,1133.0,2100.0
bronx,Mott Haven,101 Bruckner Boulevard,2.0,2.0,1331.0,2750.0
bronx,Bronxwood,2713 Holland Avenue,2.0,1.0,931.5,1900.0
bronx,Fordham,355 East 187th Street,1.0,1.0,730.25,1550.0
bronx,Kingsbridge Heights,3971 Gouverneur Avenue,2.0,1.0,931.5,2395.0
bronx,Mott Haven,225 East 138th Street,1.0,1.0,730.25,2695.0
bronx,Riverdale,3333 Henry Hudson Parkway,1.0,1.0,1102.0,2975.0
bronx,West Farms,926 Bronx Park South,0.5,1.0,629.5,1450.0
bronx,Mott Haven,224 East 135th Street,2.0,1.0,931.5,2500.0
bronx,Mott Haven,2401 3rd Avenue,0.5,1.0,629.5,2933.0
bronx,Crotona Park East,1821 Trafalgar Place,2.0,2.0,1331.0,1899.0
bronx,Mott Haven,329 East 132nd Street,0.5,1.0,629.5,1650.0
bronx,Mott Haven,228 East 135th Street,1.0,1.0,730.25,2256.0
bronx,Mott Haven,329 East 132nd Street,2.0,2.0,1331.0,3000.0
bronx,Mott Haven,329 East 132nd Street,1.0,1.0,730.25,2250.0
bronx,Mott Haven,329 East 132nd Street,1.0,1.0,730.25,2350.0
bronx,Melrose,811 Elton Avenue,2.0,1.0,931.5,2195.0
bronx,Riverdale,3707 Blackstone Avenue,1.0,1.0,730.0,3300.0
bronx,Fordham,2301 Creston Avenue,1.0,1.0,730.25,1525.0
bronx,Tremont,2095 Grand Concourse,1.0,1.0,730.25,1650.0
bronx,City Island,152B Tier Street,3.0,1.5,1332.75,3000.0
bronx,Mott Haven,224 East 135th Street,2.0,1.0,931.5,3388.0
bronx,Riverdale,3210 Riverdale Avenue,1.0,1.0,794.0,2300.0
bronx,Hunts Point,657 Manida Street,3.0,2.0,1532.5,2850.0
bronx,University Heights,2265 University Avenue,2.0,1.0,931.5,2200.0
bronx,Fordham,2308 Morris Avenue,3.0,1.0,1133.0,2850.0
bronx,Mott Haven,2401 3rd Avenue,0.5,1.0,629.5,3001.0
bronx,East Tremont,822 East 178th Street,3.0,2.0,1532.5,2300.0
bronx,Spuyten Duyvil,511 West 235th Street,1.0,1.0,1015.0,1950.0
bronx,Mott Haven,112 Lincoln Avenue,2.0,1.0,931.5,3200.0
bronx,Pelham Parkway,2190 Boston Post Road,2.0,2.0,1331.0,2500.0
bronx,University Heights,2265 University Avenue,3.0,2.0,1532.5,2600.0
bronx,Fordham,2718 Morris Avenue,1.0,1.0,730.25,1495.0
bronx,Kingsbridge Heights,3880 Orloff Avenue,1.0,1.0,730.25,3295.0
bronx,Fordham,20 East 190th Street,1.0,1.0,730.25,1425.0
bronx,Riverdale,4901 Henry Hudson Parkway West,2.0,1.5,1131.25,3000.0
bronx,Mott Haven,2401 3rd Avenue,3.0,2.0,1532.5,6134.0
bronx,Mt. Hope,1770 Grand Concourse,1.0,1.0,740.0,1999.0
bronx,Woodlawn,4345 Webster Avenue,1.0,1.0,730.25,1595.0
bronx,Woodlawn,4345 Webster Avenue,0.5,1.0,629.5,1335.0
bronx,Mott Haven,228 East 135th Street,1.0,1.0,730.25,2256.0
bronx,Kingsbridge Heights,2888 Heath Avenue,2.0,1.0,950.0,2095.0
bronx,Belmont,576 East 187th Street,0.5,1.0,629.5,1425.0
bronx,Melrose,418 East 153rd Street,2.0,1.0,931.5,2400.0
bronx,North New York,109 Bruckner Boulevard,2.0,1.0,931.5,2600.0
