,Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent
0,brooklyn,Prospect Lefferts Gardens,620 Parkside Avenue,3,1,0,3100.0
1,brooklyn,Williamsburg,1 N 4th Place,1,1,600,4597.0
2,brooklyn,Greenpoint,131 Mc Guinness Boulevard,4,2,1200,3999.0
3,brooklyn,Bensonhurst,1651 84th Street,2,1,600,1650.0
4,brooklyn,New_Dev,181 Front Street,2,2,0,6496.0
5,brooklyn,East Flatbush,3420 Clarendon Road,1,1,0,1600.0
6,brooklyn,Crown Heights,1020 President Street,2,1,0,2850.0
7,brooklyn,Bushwick,176 Suydam Street,2,2,850,2300.0
8,brooklyn,Canarsie,1289 East 93rd Street,2,0,0,2100.0
9,brooklyn,Windsor Terrace,467 16th Street,2,1,800,3800.0
10,brooklyn,East New York,311 Etna Street,1,1,0,1650.0
11,brooklyn,Stuyvesant Heights,833 Monroe Street,2,1,0,2800.0
12,brooklyn,Crown Heights,1337 Bergen Street,2,1.5,1500,3395.0
13,brooklyn,New_Dev,824 East New York Avenue,1,1,0,2350.0
14,brooklyn,New_Dev,181 Front Street,2,2,0,6496.0
15,brooklyn,Williamsburg,1 N 4th Place,1,1,600,4597.0
16,brooklyn,Crown Heights,1083 Dean Street,2,2,1100,3200.0
17,brooklyn,Crown Heights,298 New York Avenue,1,1,850,2400.0
18,brooklyn,New_Dev,181 Front Street,2,2,0,6496.0
19,brooklyn,East Williamsburg,15 Judge Street,1,1,0,3950.0
20,brooklyn,Park Slope,441 16th Street,1,1,0,1950.0
21,brooklyn,Park Slope,343 Fourth Avenue,1,1,762,3500.0
22,brooklyn,Greenwood,145 17th Street,2,1,0,2499.0
23,brooklyn,Midwood,1608 Ocean Parkway,2,1,1300,2550.0
24,brooklyn,Bushwick,53 Stanhope Street,3,2,1700,4199.0
25,brooklyn,Greenpoint,100 Engert Avenue,1,1,752,3750.0
26,brooklyn,East Williamsburg,245 Skillman Avenue,3,2,1200,4000.0
27,brooklyn,Canarsie,738 Snediker Avenue,2,1,0,2000.0
28,brooklyn,Bushwick,286 Stanhope Street,3,1,0,3272.0
29,brooklyn,Stuyvesant Heights,427 Pulaski Street,3,2,0,3250.0
30,brooklyn,Brownsville,1039 Rutland Road,3,1,0,2400.0
31,brooklyn,Williamsburg,65 Scholes Street,3,2,1500,4995.0
32,brooklyn,New_Dev,181 Front Street,2,2,0,6496.0
33,brooklyn,Bushwick,54 Noll Street,1,1,0,3100.0
34,brooklyn,Brownsville,1039 Rutland Road,3,2,0,2500.0
35,brooklyn,Prospect Lefferts Gardens,115 Ocean Avenue,2,2,0,3065.0
36,brooklyn,Bushwick,124 Linden Street,2,1,0,2781.0
37,brooklyn,Midwood,225 Avenue M,3,2,1300,4300.0
38,brooklyn,Old Mill Basin,2065 East 57th Street,1,1,0,1500.0
39,brooklyn,Bushwick,618 Bushwick Avenue,2,1,0,3599.0
40,brooklyn,Fort Greene,475 Clermont Avenue,2,2,864,5778.0
41,brooklyn,Flatbush,120 Erasmus Street,1,1,0,2275.0
42,brooklyn,Bushwick,668 Bushwick Avenue,3,2,0,4201.0
43,brooklyn,Flatbush,2324 Clarendon Road,3,2,0,3050.0
44,brooklyn,Bushwick,32 Starr Street,1,2,0,3100.0
45,brooklyn,Bedford-Stuyvesant,596 Myrtle Avenue,1,1,0,2999.0
46,brooklyn,New_Dev,181 Front Street,2,2,0,6496.0
47,brooklyn,Midwood,225 Avenue M,3,2,1300,3800.0
48,brooklyn,Williamsburg,104 South Second Street,2,1,900,4250.0
49,brooklyn,East Williamsburg,247 Johnson Avenue,1,1,0,2250.0
50,brooklyn,Williamsburg,225 Maujer Street,1,1,0,3000.0
51,brooklyn,Flatbush,2733 Snyder Avenue,1,1,0,2100.0
52,brooklyn,Crown Heights,787 Franklin Avenue,3,1.5,0,4200.0
53,brooklyn,Greenpoint,344 Mc Guinness Boulevard,3,1.5,0,3990.0
54,brooklyn,Ocean Hill,16 Gunther Place,3,1,0,3000.0
55,brooklyn,Bay Ridge,354 Bayridge Parkway,1,1,0,1895.0
56,brooklyn,Downtown Brooklyn,257 Gold Street,0.5,1,0,2995.0
57,brooklyn,Bushwick,115 Stanwix Street,2,1,0,3800.0
58,brooklyn,Williamsburg,358 Broadway,1,1,0,2699.0
59,brooklyn,Bushwick,238 Stockholm Street,3,1.5,0,3100.0
60,brooklyn,New_Dev,181 Front Street,2,2,0,6496.0
61,brooklyn,Ocean Hill,739 Decatur Street,4,2,1207,3950.0
62,brooklyn,Borough Park,4109 Ninth Avenue,1,1,750,1650.0
63,brooklyn,Ocean Hill,16 Gunther Place,3,1,0,2850.0
64,brooklyn,Brooklyn Heights,12 Pineapple Street,2,1,0,3325.0
65,brooklyn,Stuyvesant Heights,182 Bainbridge Street,1,1,0,2800.0
66,brooklyn,Flatbush,2114 Caton Avenue,1,1,0,1800.0
67,brooklyn,New_Dev,98 Front Street,1,1,0,4300.0
68,brooklyn,Bushwick,211 Knickerbocker Avenue,2,1,0,2700.0
69,brooklyn,Columbia St Waterfront District,108 Baltic Street,2,1,0,2500.0
70,brooklyn,Downtown Brooklyn,257 Gold Street,0.5,1,0,2995.0
71,brooklyn,Bushwick,115 Stanwix Street,2,1,0,3800.0
72,brooklyn,Williamsburg,184 Kent Avenue,1,1,0,4500.0
73,brooklyn,Kensington,470 Ocean Parkway,1,1,0,1750.0
74,brooklyn,New_Dev,181 Front Street,2,2,0,6496.0
75,brooklyn,East Flatbush,2021 East 41st Street,3,1,0,2600.0
76,brooklyn,Bensonhurst,1401 66th Street,2,1,800,1900.0
77,brooklyn,Bushwick,1095 Putnam Avenue,6,2,0,6000.0
78,brooklyn,East Flatbush,977 East 34th Street,3,2,0,2999.0
79,brooklyn,New_Dev,1 Blue Slip,1,1,0,5055.0
80,brooklyn,Greenpoint,2 Blue Slip,2,2,0,7870.0
81,brooklyn,Gravesend,2354 West Street,2,1,0,2199.0
82,brooklyn,Greenwood,732 Fourth Avenue,3,2.5,1100,4000.0
83,brooklyn,Flatbush,2514 Cortelyou Road,2,1,0,2229.0
84,brooklyn,Downtown Brooklyn,257 Gold Street,0.5,1,0,3095.0
85,brooklyn,Stuyvesant Heights,788 Madison Street,2,1,0,2630.0
86,brooklyn,Borough Park,938 54th Street,1,1,750,1600.0
87,brooklyn,Bushwick,290 Harman Street,2,1,0,2944.0
88,brooklyn,New_Dev,181 Front Street,2,2,0,6496.0
89,brooklyn,Crown Heights,195 Sullivan Place,1,1,0,2375.0
90,brooklyn,Canarsie,962 East 106th Street,2,1,0,2200.0
91,brooklyn,Stuyvesant Heights,61 Malcolm X Boulevard,3,3,0,3300.0
92,brooklyn,Midwood,1554 Ocean Avenue,1,1,775,1600.0
93,brooklyn,Brighton Beach,40 Shore Boulevard,1,1,725,2015.0
94,brooklyn,Clinton Hill,1005 Atlantic Avenue,2,1,0,3348.0
95,brooklyn,Flatbush,2009 Nostrand Avenue,2,1,0,2499.0
96,brooklyn,Kensington,665 Ocean Parkway,2,1,0,1995.0
97,brooklyn,Bedford-Stuyvesant,587 Greene Avenue,2,1.5,0,3000.0
98,brooklyn,Downtown Brooklyn,257 Gold Street,1,1,0,4095.0
99,brooklyn,Ocean Hill,9 Pleasant Place,3,1,1000,2575.0
100,brooklyn,Flatbush,2524 Albemarle Road,1,1,0,2300.0
101,brooklyn,Greenpoint,592 Manhattan Avenue,3,2,0,4500.0
102,brooklyn,New_Dev,181 Front Street,2,2,0,6496.0
103,brooklyn,Kensington,465 East Seventh Street,1,1,800,1775.0
104,brooklyn,Ditmas Park,401 East 23rd Street,2,1,0,2499.0
105,brooklyn,Weeksville,1497 Prospect Place,2,1,0,2200.0
106,brooklyn,Marine Park,3922 Fillmore Avenue,2,1,800,1500.0
107,brooklyn,Bushwick,113 Saint Nicholas's Avenue,4,2,1800,3800.0
108,brooklyn,Downtown Brooklyn,196 Willoughby Street,1,1,0,4900.0
109,brooklyn,Kensington,315 Ocean Parkway,2,1,950,2550.0
110,brooklyn,Bedford-Stuyvesant,837 Bedford Avenue,1,1,0,2250.0
111,brooklyn,Flatbush,2009 Nostrand Avenue,3,1,0,2900.0
112,brooklyn,Flatbush,1620 New York Avenue,2,2,1500,4216.0
113,brooklyn,New_Dev,181 Front Street,2,2,0,6496.0
114,brooklyn,Canarsie,573 East 93rd Street,2,1,900,2100.0
115,brooklyn,Homecrest,1672 East 22nd Street,2,2,1200,2500.0
116,brooklyn,New_Dev,181 Front Street,2,2,0,6496.0
117,brooklyn,Crown Heights,263 Brooklyn Avenue,2,1,1000,3000.0
118,brooklyn,Downtown Brooklyn,196 Willoughby Street,1,1,0,5100.0
119,brooklyn,Bushwick,621 Bushwick Avenue,2,1,0,3272.0
120,brooklyn,Carroll Gardens,399 Smith Street,0.5,1,0,2200.0
121,brooklyn,Crown Heights,788 Nostrand Avenue,2,1,900,2500.0
122,brooklyn,Bedford-Stuyvesant,277 Halsey Street,4,1.5,0,3400.0
123,brooklyn,Bedford-Stuyvesant,276 Halsey Street,4,2,0,3700.0
124,brooklyn,Williamsburg,69 Ten Eyck Street,2,1,0,3800.0
125,brooklyn,Fort Hamilton,9602 Fourth Avenue,0.5,1,0,1400.0
126,brooklyn,Flatbush,1626 New York Avenue,3,2,1500,4300.0
127,brooklyn,DUMBO,100 Jay Street,1,1,0,4495.0
128,brooklyn,Bedford-Stuyvesant,640 Lafayette Avenue,1,1,0,2300.0
129,brooklyn,Williamsburg,138 South 4th Street,0.5,1,0,3277.0
130,brooklyn,New_Dev,181 Front Street,2,2,0,6496.0
131,brooklyn,Flatbush,210 Linden Boulevard,1,1,0,2500.0
