,Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent
0,manhattan,Chelsea,130 W 15th Street,2,2,0,9150.0
1,manhattan,Murray Hill,401 East 34th Street,2,2,1085,6276.0
2,manhattan,Washington Heights,432 West 163rd Street,2,1,0,2646.0
3,manhattan,South Harlem,207 West 121st Street,0.5,1,0,1950.0
4,manhattan,New_Dev,420 E 54th Street,1,2,851,5869.0
5,manhattan,Upper West Side,255 W 94th Street,1,1,0,4350.0
6,manhattan,Upper West Side,255 W 94th Street,1,1,0,4295.0
7,manhattan,Upper West Side,255 W 94th Street,0.5,1,0,3850.0
8,manhattan,Upper West Side,255 W 94th Street,1,1,0,4095.0
9,manhattan,Upper West Side,255 W 94th Street,3,2,0,10500.0
10,manhattan,Financial District,120 Greenwich Street,1,1,568,3850.0
11,manhattan,Upper West Side,212 West 91st Street,0.5,1,0,2900.0
12,manhattan,Washington Heights,838 Riverside Drive,3,1,0,3800.0
13,manhattan,Battery Park City,377 Rector Place,1,1,621,4000.0
14,manhattan,West Chelsea,312 11th Avenue,0.5,1,535,3550.0
15,manhattan,Kips Bay,240 East 27th Street,1,1,941,4840.0
16,manhattan,Midtown,260 West 52nd Street,1,1,616,4135.0
17,manhattan,West Village,53 Leroy Street,1,2,0,6495.0
18,manhattan,New_Dev,645 West 59th Street,3,3.5,2026,31000.0
19,manhattan,Inwood,65 Post Avenue,1,1,0,1850.0
20,manhattan,Little Italy,160 Mott Street,1,1,380,2100.0
21,manhattan,Lenox Hill,1411 York Avenue,0.5,1,0,2450.0
22,manhattan,Lenox Hill,1411 York Avenue,0.5,1,0,2700.0
23,manhattan,Lenox Hill,1409 York Avenue,0.5,1,0,2450.0
24,manhattan,Carnegie Hill,173 East 87th Street,2,1,600,1800.0
25,manhattan,Lenox Hill,1409 York Avenue,1,1,0,2650.0
26,manhattan,Lenox Hill,795 Lexington Avenue,1,1,500,2395.0
27,manhattan,Hamilton Heights,139 Edgecombe Avenue,3,1,1000,2945.0
28,manhattan,Midtown South,160 Madison Avenue,2,2,0,7200.0
29,manhattan,Murray Hill,41 Park Avenue,1,1,700,8050.0
30,manhattan,Lower East Side,353 Grand Street,2,1,0,3750.0
31,manhattan,East Harlem,1646 Madison Avenue,2,1,0,1950.0
32,manhattan,Lincoln Square,101 West End Avenue,1,1,515,4625.0
33,manhattan,East Harlem,182 East 111st Street,3,2,1000,3180.0
34,manhattan,Lower East Side,353 Grand Street,4,2,0,5500.0
35,manhattan,Upper West Side,15 West 75th Street,2,1,1350,7190.0
36,manhattan,Washington Heights,1306 Saint Nicholas Avenue,1,1,0,1900.0
37,manhattan,Hell's Kitchen,787 Ninth Avenue,1,1,0,2100.0
38,manhattan,Upper West Side,15 West 75th Street,1,1,800,4195.0
39,manhattan,East Village,211 Avenue A,1,1,0,3200.0
40,manhattan,Kips Bay,222 East 34th Street,1,1,0,4650.0
41,manhattan,Kips Bay,222 East 34th Street,1,1,0,3775.0
42,manhattan,Hell's Kitchen,500 W 56th Street,1,1,0,4275.0
43,manhattan,Murray Hill,240 East 39th Street,2,2.5,0,8195.0
44,manhattan,Hell's Kitchen,693 Ninth Avenue,2,1,0,3895.0
45,manhattan,Financial District,63 Wall Street,1,1,0,4800.0
46,manhattan,Midtown South,309 5th Avenue,1,1,646,5020.0
47,manhattan,East Village,120 East 4th Street,0.5,1,0,2700.0
48,manhattan,Murray Hill,330 East 39th Street,1,1,0,4100.0
49,manhattan,Hamilton Heights,545 West 148th Street,3,1,900,2700.0
50,manhattan,Murray Hill,305 East 40th Street,2,1,950,5200.0
51,manhattan,Murray Hill,401 East 34th Street,1,1,675,4191.0
52,manhattan,Murray Hill,401 East 34th Street,1,2,1018,5406.0
53,manhattan,Murray Hill,401 East 34th Street,1,1,678,4309.0
54,manhattan,Central Harlem,352 Lenox Avenue,3,1,0,3250.0
55,manhattan,Nolita,242 Mulberry Street,0.5,1,0,3095.0
56,manhattan,New_Dev,222 East 44th Street,1,1,0,5675.0
