,Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent
0,queens,Jamaica,153-30 89th Avenue,2,2,1040,3000.0
1,queens,Corona,97-11 Horace Harding Expressway,1,1,713,2003.0
2,queens,Elmhurst,85-14 57 Road,1,1,0,1995.0
3,queens,Astoria,32-57 46th Street,3,2,1200,3500.0
4,queens,Long Island City,29-59 Northern Boulevard,0.5,1,0,3184.0
5,queens,Rego Park,98-50 63 Drive,0.5,1,0,1600.0
6,queens,Woodside,33-16 61st Street,2,1,0,2250.0
7,queens,Briarwood,147-94 Grand Cent Parkway,1,1,850,1900.0
8,queens,Hunters Point,42-20 27th Street,2,2,0,5010.0
9,queens,Rego Park,61-55 Junction Boulevard,1,1,685,2875.0
10,queens,Forest Hills,68-35 Juno Street,3,2,0,3650.0
11,queens,Astoria,28-05 43rd Street,1,1,650,1800.0
12,queens,Hunters Point,1-50 50th Avenue,3,2,1141,4739.0
13,queens,Briarwood,139-31 85 Drive,0.5,1,400,1450.0
14,queens,Woodside,43-27A 54th Street,3,2,1000,2900.0
15,queens,Forest Hills,"6120 Grand Central Parkway,",1,1,875,1850.0
16,queens,Hunters Point,1-50 50th Avenue,2,2,989,4020.0
17,queens,Astoria,31-52 45th Street,3,1,1000,2700.0
18,queens,Long Island City,29-59 Northern Boulevard,3,2,0,6491.0
19,queens,Sunnyside,44-15 43rd Avenue,1,1,750,2000.0
20,queens,Ridgewood,68-07 Forest Avenue,4,1.5,0,3300.0
21,queens,New_Dev,28-40 Jackson Avenue,2,2,0,5218.0
22,queens,Astoria,30-19 49th Street,2,1,1000,2400.0
23,queens,Jamaica Estates,87-01 Midland Parkway,0.5,1,600,1500.0
24,queens,Briarwood,84-06 143rd Street,1,1,748,1895.0
25,queens,Sunnyside,52-22 35th Street,1,1,0,1600.0
26,queens,Glendale,78-56 76th Street,2,1,0,2300.0
27,queens,Kew Gardens,125-16 83 Drive,0.5,1,600,1575.0
28,queens,Ditmars-Steinway,21-38 46th Street,3,1,0,4000.0
29,queens,Astoria,10 Halletts Point,2,2.5,0,6395.0
30,queens,Jackson Heights,74-15 35th Avenue,2,1,775,2350.0
31,queens,Jamaica Estates,87-03 Kingston Place,3,2,0,2500.0
32,queens,Long Island City,29-59 Northern Boulevard,2,1,0,5921.0
33,queens,New_Dev,30-92 29th Street,2,1,0,3500.0
34,queens,Flushing,140-21 32nd Avenue,1,1,700,2200.0
35,queens,Sunnyside,41-25 44th Street,1,1,0,1900.0
36,queens,Astoria,30-71 33rd Street,1,1,0,1895.0
37,queens,Astoria,35-21 Crescent Street,3,1,0,3500.0
38,queens,Murray Hill (Queens),163-04 Crocheron Avenue,1,1,780,1975.0
