,Borough,Area,Address,Num_Beds,Num_Baths,Sq-Ft,Rent
0,staten-island,New Dorp Beach,48C Winham Avenue,0.5,1,0,1199.0
1,staten-island,Eltingville,3676 Richmond Avenue 1-FLOOR,3,1,1500,2400.0
2,staten-island,Saint George,36 Hamilton Avenue,2,1,900,2150.0
3,staten-island,Saint George,36 Hamilton Avenue,1,1,750,1600.0
4,staten-island,Saint George,60 Hamilton Avenue,2,1,0,1950.0
5,staten-island,Saint George,60 Hamilton Avenue,1,1,0,1450.0
6,staten-island,Midland Beach,51 Boundary Avenue,1,1,0,1300.0
7,staten-island,Tottenville,203 Main Street,1,1,700,1700.0
8,staten-island,Richmondtown,19E Franklin Lane,1,1,0,1600.0
9,staten-island,Saint George,133 Winter Avenue,3,1,0,2800.0
10,staten-island,New Springville,26 Arielle Lane,1,2,0,1400.0
11,staten-island,Annadale,228 Shotwell Avenue,1,1,695,1450.0
12,staten-island,New Dorp,257 Bryant Avenue,2,1,0,2000.0
13,staten-island,Park Hill,668 Richmond Road,2,1,0,2300.0
14,staten-island,Grymes Hill,29 Stratford Avenue,2,1,807,2075.0
15,staten-island,Port Richmond,91 Ann Street,3,1.5,1000,2395.0
16,staten-island,Port Richmond,91 Ann Street,2,1,900,2195.0
17,staten-island,Bulls Head,94 Nostrand Avenue,2,1,0,2150.0
18,staten-island,Bay Terrace,165 Woodcutters Lane,1,1,700,1400.0
19,staten-island,Castleton Corners,397 Melba Street,3,1,0,2450.0
20,staten-island,Grant City,180 Hamden Avenue,2,1,0,2000.0
21,staten-island,Grymes Hill,516 Howard Avenue,1,1,0,1695.0
22,staten-island,Grymes Hill,80 Arlo Road,0.5,1,500,1400.0
23,staten-island,Mariners Harbor,15 Harbor Loop,1,1,0,1350.0
24,staten-island,Shore Acres,72 Maryland Avenue,2,1,0,1900.0
25,staten-island,Rossville,85 Mason Boulevard,1,1,800,1750.0
26,staten-island,Rossville,37 Balsam Place,0.5,1,0,1050.0
27,staten-island,Saint George,54 Taft Avenue,3,2,1500,2500.0
28,staten-island,Richmondtown,20 Luke Court,0.5,1,0,1200.0
29,staten-island,Sunnyside (Staten Island),1356 Clove Road,3,1,800,2450.0
30,staten-island,Great Kills,1063 Armstrong Avenue,2,1,0,1700.0
31,staten-island,Graniteville,69 Tremont Avenue,4,2.5,1300,4200.0
32,staten-island,Great Kills,45 Ocean Road,3,1.5,1700,2600.0
33,staten-island,Stapleton,8 Navy Pier Court,0.5,1,0,2255.0
34,staten-island,Stapleton,7 Navy Pier Court,0.5,1,0,1914.0
35,staten-island,Stapleton,7 Navy Pier Court,0.5,1,0,2395.0
36,staten-island,Chelsea (Staten Island),3555 Victory Boulevard,1,1,0,5000.0
